frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,zeroed_x_mm,zeroed_y_mm,speed_EL
2,,436.0,194.0,56,436.0,194.0,535,225,False,65.1962616822,25.8666666667,65.1962616822,25.8666666667,
3,,431.0,191.0,56,431.833333333,191.5,535,225,False,64.5732087227,25.5333333333,64.5732087227,25.5333333333,0.706615950511
4,,425.0,189.0,56,425.254658385,189.093167702,535,225,False,63.5894816277,25.2124223603,63.5894816277,25.2124223603,1.03474772294
5,,418.0,182.0,56,418.128898407,182.1428189,535,225,False,62.5239474253,24.2857091867,62.5239474253,24.2857091867,1.41214745775
6,,414.0,172.0,56,413.99502375,172.114178255,535,225,False,61.9057979439,22.9485571007,61.9057979439,22.9485571007,1.47312066121
7,,414.0,163.0,56,413.923948448,163.027593421,535,225,False,61.8951698614,21.7370124561,61.8951698614,21.7370124561,1.21159126022
8,,416.0,158.0,56,415.932406581,157.938181134,535,225,False,62.1955000495,21.0584241512,62.1955000495,21.0584241512,0.742078371524
9,,420.0,151.0,56,419.937252797,151.009183799,535,225,False,62.7943555584,20.1345578399,62.7943555584,20.1345578399,1.1009799643
10,,428.0,145.0,56,427.903469837,144.987128546,535,225,False,63.9855655831,19.3316171395,63.9855655831,19.3316171395,1.43655667874
11,,436.0,141.0,56,435.960521438,140.958750128,535,225,False,65.1903583459,18.7945000171,65.1903583459,18.7945000171,1.31909833007
12,,445.0,142.0,56,444.967281896,141.893699445,535,225,False,66.537163648,18.919159926,66.537163648,18.919159926,1.35256224062
13,,452.0,146.0,56,452.022616542,145.902519891,535,225,False,67.5921669596,19.4536693188,67.5921669596,19.4536693188,1.18268012513
14,,460.0,152.0,56,459.992259092,151.925226105,535,225,False,68.78388921,20.256696814,68.78388921,20.256696814,1.43702995108
15,,466.0,161.0,56,466.032013662,160.916782015,535,225,False,69.6870300803,21.4555709353,69.6870300803,21.4555709353,1.50098720527
16,,469.0,145.0,56,469.067111052,145.412242858,535,225,False,70.140876419,19.3882990477,70.140876419,19.3882990477,2.11650408845
17,,468.0,144.0,56,468.098999228,143.907316545,535,225,False,69.9961120341,19.187642206,69.9961120341,19.187642206,0.247426545199
18,,459.0,146.0,56,459.183129754,145.900158198,535,225,False,68.6628979071,19.4533544264,68.6628979071,19.4533544264,1.35943476945
19,,452.0,149.0,56,452.039580522,148.941826295,535,225,False,67.5947036295,19.8589101727,67.5947036295,19.8589101727,1.14259112468
20,,438.0,152.0,56,438.138234328,151.977314671,535,225,False,65.5159976565,20.2636419561,65.5159976565,20.2636419561,2.11774085725
21,,427.0,150.0,56,427.003922317,150.080678465,535,225,False,63.8510538044,20.0107571287,63.8510538044,20.0107571287,1.68403941957
22,,415.0,150.0,56,415.017020345,149.998662944,535,225,False,62.0586198647,19.9998217259,62.0586198647,19.9998217259,1.79246729715
23,,402.0,147.0,56,402.024924622,147.051507649,535,225,False,60.115876579,19.6068676865,60.115876579,19.6068676865,1.98208585866
24,,389.0,143.0,56,389.010178978,143.03952277,535,225,False,58.1697463892,19.0719363693,58.1697463892,19.0719363693,2.0183097457
25,,381.0,143.0,56,380.914654776,142.944358091,535,225,False,56.9592007142,19.0592477455,56.9592007142,19.0592477455,1.21061217266
26,,367.0,142.0,56,367.070942732,141.993730045,535,225,False,54.8891129319,18.9324973393,54.8891129319,18.9324973393,2.07396458306
