frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,zeroed_x_mm,zeroed_y_mm,speed_EL
2,,298.0,58.0,16,298.0,58.0,526,211,False,45.3231939163,8.24644549763,45.3231939163,8.24644549763,
3,,314.0,65.0,16,311.333333333,63.8333333333,526,211,False,47.351077313,9.07582938388,47.351077313,9.07582938388,2.19093329456
4,,330.0,76.0,16,329.304347826,75.5465838509,526,211,False,50.0843114564,10.7412204527,50.0843114564,10.7412204527,3.20063998209
5,,336.0,83.0,16,335.930665239,82.8882345068,526,211,False,51.0921163862,11.7850570389,51.0921163862,11.7850570389,1.45095334004
6,,337.0,88.0,16,337.075175079,87.997540163,526,211,False,51.2661863238,12.5114986014,51.2661863238,12.5114986014,0.747005814507
7,,336.0,90.0,16,336.068711016,90.05470244,526,211,False,51.1131119416,12.8039861289,51.1131119416,12.8039861289,0.330122280756
8,,335.0,91.0,16,335.027559346,91.0408994945,526,211,False,50.9547618777,12.9442037196,50.9547618777,12.9442037196,0.211508192438
9,,335.0,92.0,16,334.992527377,92.0162256033,526,211,False,50.9494338216,13.0828756782,50.9494338216,13.0828756782,0.138774278176
10,,341.0,94.0,16,340.889346482,93.9882579873,526,211,False,51.8462884383,13.3632594295,51.8462884383,13.3632594295,0.939661242966
11,,336.0,106.0,16,336.149795587,105.816408692,526,211,False,51.1254441957,15.0449870178,51.1254441957,15.0449870178,1.82970601559
12,,332.0,109.0,16,332.047136918,109.083523339,526,211,False,50.501465691,15.509505688,50.501465691,15.509505688,0.777898945491
13,,345.0,100.0,16,344.713935012,100.25243798,526,211,False,52.4279749068,14.2539011346,52.4279749068,14.2539011346,2.29956094792
14,,360.0,96.0,16,359.84317612,96.0154965618,526,211,False,54.7290001703,13.6514924022,54.7290001703,13.6514924022,2.37857384677
15,,376.0,90.0,16,375.921310535,90.0376874844,526,211,False,57.1743438076,12.8015669409,57.1743438076,12.8015669409,2.58883734405
16,,383.0,89.0,16,383.130229648,88.9263922018,526,211,False,58.2707573609,12.6435628723,58.2707573609,12.6435628723,1.10774002617
17,,387.0,88.0,16,387.109683253,87.9683705303,526,211,False,58.8759974529,12.5073512602,58.8759974529,12.5073512602,0.620378249331
