frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,zeroed_x_mm,zeroed_y_mm,speed_EL
2,98.0,168.0,0,87.3333333333,165.0,520,215,False,13.4358974359,23.023255814,13.4358974359,23.023255814,
3,132.0,169.0,0,130.335403727,168.850931677,520,215,False,20.0516005734,23.5605951177,20.0516005734,23.5605951177,6.63748909836
4,177.0,159.0,0,176.173738455,159.228349619,520,215,False,27.10365207,22.2179092492,27.10365207,22.2179092492,7.17873496185
5,205.0,162.0,0,204.991498803,161.860977392,520,215,False,31.537153662,22.5852526593,31.537153662,22.5852526593,4.44869391477
6,239.0,161.0,0,238.903749449,161.009035899,520,215,False,36.7544229922,22.4663771022,36.7544229922,22.4663771022,5.21862344507
7,267.0,169.0,0,267.06674824,168.845660134,520,215,False,41.0871920369,23.5598595536,41.0871920369,23.5598595536,4.46862299448
8,304.0,171.0,0,303.869249548,171.041953805,520,215,False,46.7491153151,23.8663191356,46.7491153151,23.8663191356,5.67021099106
9,337.0,161.0,0,337.015165678,161.234435822,520,215,False,51.8484870274,22.4978282542,51.8484870274,22.4978282542,5.2798067344
10,365.0,159.0,0,365.097892128,158.955157653,520,215,False,56.1689064812,22.17978944,56.1689064812,22.17978944,4.33210952592
11,388.0,149.0,0,388.130081694,149.119649811,520,215,False,59.7123202606,20.8073929969,59.7123202606,20.8073929969,3.79990173674
12,415.0,123.0,0,414.981617166,123.336502246,520,215,False,63.8433257178,17.2097444994,63.8433257178,17.2097444994,5.47798145295
13,420.0,118.0,0,420.382347752,117.7648259,520,215,False,64.6742073465,16.4323012884,64.6742073465,16.4323012884,1.13788497978
14,439.0,102.0,0,438.911423455,102.091290367,520,215,False,67.5248343777,14.2452963303,67.5248343777,14.2452963303,3.59291875192
15,459.0,89.0,0,458.938091317,88.9890796884,520,215,False,70.6058602026,12.4170808868,70.6058602026,12.4170808868,3.58260964128
16,481.0,83.0,0,480.939870264,82.8689246618,520,215,False,73.9907492714,11.5631057668,73.9907492714,11.5631057668,3.49095223591
17,481.0,81.0,0,481.368214642,80.8737230565,520,215,False,74.0566484065,11.2847055428,74.0566484065,11.2847055428,0.286093307724
18,481.0,80.0,0,481.155932684,79.9313932266,520,215,False,74.0239896437,11.1532176595,74.0239896437,11.1532176595,0.135483055121
19,486.0,61.0,0,485.969831441,61.2944522335,520,215,False,74.7645894525,8.55271426514,74.7645894525,8.55271426514,2.7039056901
20,485.0,42.0,0,485.091548695,42.1250615954,520,215,False,74.62946903,5.87791557145,74.62946903,5.87791557145,2.67820939815
21,487.0,41.0,0,486.985531788,40.7262913658,520,215,False,74.9208510443,5.68273833011,74.9208510443,5.68273833011,0.350710184909
