frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,zeroed_x_mm,zeroed_y_mm,speed_EL
2,,252.0,102.0,155,250.333333333,97.5,541,226,False,37.0178681454,12.9424778761,37.0178681454,12.9424778761,
3,,274.0,133.0,155,273.118012422,131.677018634,541,226,False,40.3871367722,17.4792502612,40.3871367722,17.4792502612,5.65104191751
4,,296.0,180.0,155,295.601927453,179.101191273,541,226,False,43.7119301224,23.7744944168,43.7119301224,23.7744944168,7.11929419259
5,,317.0,188.0,155,316.865237829,188.358661455,541,226,False,46.8562274054,25.00336214,46.8562274054,25.00336214,3.37590303251
6,,350.0,182.0,155,349.735457961,182.417846631,541,226,False,51.7168884231,24.2147584023,51.7168884231,24.2147584023,4.92421784488
7,,399.0,176.0,155,398.605584781,176.169352193,541,226,False,58.9435245517,23.385312238,58.9435245517,23.385312238,7.27408074436
8,,438.0,162.0,155,438.017214891,162.206474438,541,226,False,64.7714920356,21.53183289,64.7714920356,21.53183289,6.11560223421
9,,479.0,144.0,155,478.978602027,144.155162689,541,226,False,70.8286287655,19.1356410649,70.8286287655,19.1356410649,6.513880612
10,,502.0,141.0,155,502.311747996,140.794028769,541,226,False,74.2790015521,18.6894728454,74.2790015521,18.6894728454,3.47910023514
11,1.0,500.5,156.0,155,500.655873998,155.897014384,541,226,False,74.0341403324,20.6942939448,74.0341403324,20.6942939448,2.01971895501
12,,499.0,171.0,155,499.0,171.0,541,226,False,73.7892791128,22.6991150442,73.7892791128,22.6991150442,2.01971895515
13,,508.0,155.0,155,506.5,157.666666667,541,226,False,74.898336414,20.9292035399,74.898336414,20.9292035399,2.08868255867
14,,507.0,120.0,155,506.98136646,121.403726708,541,226,False,74.9695181457,16.1155389435,74.9695181457,16.1155389435,4.81419086502
15,,495.0,98.0,155,495.26020613,98.3530986481,541,226,False,73.2362596865,13.0557210595,73.2362596865,13.0557210595,3.51662769849
16,,500.0,74.0,155,499.798622983,74.1611734406,541,226,False,73.9073749328,9.84440355406,73.9073749328,9.84440355406,3.28069440735
17,,508.0,52.0,155,507.85683313,52.0256976265,541,226,False,75.0989771726,6.90606605662,75.0989771726,6.90606605662,3.17076381128
18,,502.0,29.0,155,502.193231472,29.0257792545,541,226,False,74.2614760033,3.85297954706,74.2614760033,3.85297954706,3.16587198787
19,,500.0,29.0,155,500.012471276,28.6001146131,541,226,False,73.9389976009,3.79647539112,73.9389976009,3.79647539112,0.327391263828
20,,478.0,19.0,155,478.358529094,19.0097251782,541,226,False,70.7369359104,2.52341484666,70.7369359104,2.52341484666,3.44584999958
21,,454.0,26.0,155,454.186237048,25.7080045729,541,226,False,67.1624749794,3.4125669787,67.1624749794,3.4125669787,3.68339007726
22,,444.0,19.0,155,443.822222314,19.1267305324,541,226,False,65.6299034845,2.53894653085,65.6299034845,2.53894653085,1.76408278541
23,,426.0,27.0,155,426.064600802,26.790962319,541,226,False,63.0040075123,3.55632243173,63.0040075123,3.55632243173,2.81609363845
24,,415.0,19.0,155,414.905485794,19.1952057679,541,226,False,61.3538611156,2.54803616388,61.3538611156,2.54803616388,1.93381083062
25,,395.0,28.0,155,395.119624827,27.7826086691,541,226,False,58.4280406399,3.68795690298,58.4280406399,3.68795690298,3.14003897229
26,,385.0,27.0,155,384.873633175,27.0834531564,541,226,False,56.9129217264,3.59514864908,56.9129217264,3.59514864908,1.51795872598
27,,363.0,33.0,155,363.158756114,32.9141210997,541,226,False,53.7018493329,4.36913111943,53.7018493329,4.36913111943,3.30303417794
28,,351.0,28.0,155,350.890658771,28.1585929797,541,226,False,51.8877129421,3.73786632474,51.8877129421,3.73786632474,1.92082953058
29,,328.0,36.0,155,328.14738229,35.8363590231,541,226,False,48.5245666972,4.75703880838,48.5245666972,4.75703880838,3.51418058953
30,,295.0,47.0,155,295.242298155,46.8748397448,541,226,False,43.6587501893,6.22232385993,43.6587501893,6.22232385993,5.08165628229
31,,280.0,43.0,155,279.778220784,43.2178249657,541,226,False,41.3720104671,5.73687942023,41.3720104671,5.73687942023,2.3376986249
