frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,zeroed_x_mm,zeroed_y_mm,speed_EL
2,494.0,44.0,manual,494.0,44.0,536,229,False,73.7313432836,5.76419213974,73.7313432836,5.76419213974,
3,494.0,44.0,manual,494.0,44.0,536,229,False,73.7313432836,5.76419213974,73.7313432836,5.76419213974,0.0
4,494.0,44.0,manual,494.0,44.0,536,229,False,73.7313432836,5.76419213974,73.7313432836,5.76419213974,0.0
5,494.0,44.0,manual,494.0,44.0,536,229,False,73.7313432836,5.76419213974,73.7313432836,5.76419213974,0.0
6,494.0,44.0,manual,494.0,44.0,536,229,False,73.7313432836,5.76419213974,73.7313432836,5.76419213974,0.0
7,494.0,44.0,manual,494.0,44.0,536,229,False,73.7313432836,5.76419213974,73.7313432836,5.76419213974,0.0
8,494.0,44.0,manual,494.0,44.0,536,229,False,73.7313432836,5.76419213974,73.7313432836,5.76419213974,0.0
9,494.0,44.0,manual,494.0,44.0,536,229,False,73.7313432836,5.76419213974,73.7313432836,5.76419213974,0.0
10,494.0,44.0,manual,494.0,44.0,536,229,False,73.7313432836,5.76419213974,73.7313432836,5.76419213974,0.0
11,494.0,44.0,manual,494.0,44.0,536,229,False,73.7313432836,5.76419213974,73.7313432836,5.76419213974,0.0
12,494.0,44.0,manual,494.0,44.0,536,229,False,73.7313432836,5.76419213974,73.7313432836,5.76419213974,0.0
13,494.0,44.0,manual,494.0,44.0,536,229,False,73.7313432836,5.76419213974,73.7313432836,5.76419213974,0.0
14,494.0,44.0,manual,494.0,44.0,536,229,False,73.7313432836,5.76419213974,73.7313432836,5.76419213974,0.0
15,494.0,44.0,manual,494.0,44.0,536,229,False,73.7313432836,5.76419213974,73.7313432836,5.76419213974,0.0
16,494.0,44.0,manual,494.0,44.0,536,229,False,73.7313432836,5.76419213974,73.7313432836,5.76419213974,0.0
17,494.0,44.0,manual,494.0,44.0,536,229,False,73.7313432836,5.76419213974,73.7313432836,5.76419213974,0.0
18,494.0,44.0,manual,494.0,44.0,536,229,False,73.7313432836,5.76419213974,73.7313432836,5.76419213974,0.0
19,494.0,44.0,manual,494.0,44.0,536,229,False,73.7313432836,5.76419213974,73.7313432836,5.76419213974,0.0
20,494.0,44.0,manual,494.0,44.0,536,229,False,73.7313432836,5.76419213974,73.7313432836,5.76419213974,0.0
21,494.0,44.0,manual,494.0,44.0,536,229,False,73.7313432836,5.76419213974,73.7313432836,5.76419213974,0.0
22,494.0,44.0,manual,494.0,44.0,536,229,False,73.7313432836,5.76419213974,73.7313432836,5.76419213974,0.0
23,494.0,44.0,manual,494.0,44.0,536,229,False,73.7313432836,5.76419213974,73.7313432836,5.76419213974,0.0
24,494.0,44.0,manual,494.0,44.0,536,229,False,73.7313432836,5.76419213974,73.7313432836,5.76419213974,0.0
25,494.0,44.0,manual,494.0,44.0,536,229,False,73.7313432836,5.76419213974,73.7313432836,5.76419213974,0.0
26,494.0,44.0,manual,494.0,44.0,536,229,False,73.7313432836,5.76419213974,73.7313432836,5.76419213974,0.0
27,494.0,44.0,manual,494.0,44.0,536,229,False,73.7313432836,5.76419213974,73.7313432836,5.76419213974,0.0
28,494.0,44.0,manual,494.0,44.0,536,229,False,73.7313432836,5.76419213974,73.7313432836,5.76419213974,0.0
29,494.0,44.0,manual,494.0,44.0,536,229,False,73.7313432836,5.76419213974,73.7313432836,5.76419213974,0.0
30,494.0,44.0,manual,494.0,44.0,536,229,False,73.7313432836,5.76419213974,73.7313432836,5.76419213974,0.0
31,494.0,44.0,manual,494.0,44.0,536,229,False,73.7313432836,5.76419213974,73.7313432836,5.76419213974,0.0
32,494.0,44.0,manual,494.0,44.0,536,229,False,73.7313432836,5.76419213974,73.7313432836,5.76419213974,0.0
33,494.0,44.0,manual,494.0,44.0,536,229,False,73.7313432836,5.76419213974,73.7313432836,5.76419213974,0.0
34,494.0,44.0,manual,494.0,44.0,536,229,False,73.7313432836,5.76419213974,73.7313432836,5.76419213974,0.0
35,494.0,44.0,manual,494.0,44.0,536,229,False,73.7313432836,5.76419213974,73.7313432836,5.76419213974,0.0
36,494.0,44.0,manual,494.0,44.0,536,229,False,73.7313432836,5.76419213974,73.7313432836,5.76419213974,0.0
37,494.0,44.0,0,494.0,44.0,536,229,False,73.7313432836,5.76419213974,73.7313432836,5.76419213974,0.0
38,495.0,45.0,0,494.833333333,44.8333333333,536,229,False,73.855721393,5.87336244541,73.855721393,5.87336244541,0.165493412979
39,497.0,45.0,0,496.919254658,44.9937888199,536,229,False,74.167052934,5.89438281483,74.167052934,5.89438281483,0.312040356973
40,498.0,45.0,0,497.985410253,45.0005354036,536,229,False,74.3261806348,5.89526664676,74.3261806348,5.89526664676,0.15913015523
41,498.0,43.0,0,498.013654555,43.037096802,536,229,False,74.3303962022,5.63804761598,74.3303962022,5.63804761598,0.257253572965
42,497.0,43.0,0,497.023921236,42.9797824077,536,229,False,74.1826748113,5.63053918005,74.1826748113,5.63053918005,0.147912088547
