frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,zeroed_x_mm,zeroed_y_mm,speed_EL
2,250.0,113.0,0,250.0,113.0,554,246,False,36.1010830325,13.7804878049,36.1010830325,13.7804878049,
3,240.0,115.0,0,241.666666667,114.666666667,554,246,False,34.8977135981,13.9837398374,34.8977135981,13.9837398374,1.22041361198
4,234.0,118.0,0,234.285714286,117.875776398,554,246,False,33.8318720991,14.3750946827,33.8318720991,14.3750946827,1.13541918075
5,225.0,121.0,0,225.169321376,120.946058091,554,246,False,32.5154254695,14.7495192794,32.5154254695,14.7495192794,1.36865828723
6,209.0,125.0,0,209.195424211,124.960957467,554,246,False,30.2087255178,15.2391411545,30.2087255178,15.2391411545,2.35809122966
7,194.0,129.0,0,194.061319369,128.984531169,554,246,False,28.0232952157,15.7298208743,28.0232952157,15.7298208743,2.23983753712
8,182.0,132.0,0,181.968763686,132.012037189,554,246,False,26.2770777886,16.0990289255,26.2770777886,16.0990289255,1.7848220886
9,169.0,135.0,0,169.003606722,135.005338491,554,246,False,24.4048529562,16.4640656696,24.4048529562,16.4640656696,1.90747939633
10,154.0,139.0,0,154.037747092,138.984193984,554,246,False,22.2437179916,16.9492919493,22.2437179916,16.9492919493,2.21493766905
11,140.0,142.0,0,139.997974629,142.011093592,554,246,False,20.2163140258,17.3184260478,20.2163140258,17.3184260478,2.06073453486
12,124.0,144.0,0,124.034147582,144.02278389,554,246,False,17.9110682429,17.5637541329,17.9110682429,17.5637541329,2.31826314063
13,110.0,146.0,0,109.978724932,146.009384361,554,246,False,15.8814043223,17.806022483,15.8814043223,17.806022483,2.04407181478
14,96.0,148.0,0,95.9904432681,148.003540404,554,246,False,13.861435851,18.0492122444,13.861435851,18.0492122444,2.03455495997
15,81.0,152.0,0,81.0141965179,151.965648951,554,246,False,11.6988009412,18.5323962135,11.6988009412,18.5323962135,2.21595498624
16,65.0,154.0,0,65.0239774202,154.021162472,554,246,False,9.3897440318,18.7830685941,9.3897440318,18.7830685941,2.32262361422
17,51.0,158.0,0,50.974158325,157.973840351,554,246,False,7.36088928881,19.2651024818,7.36088928881,19.2651024818,2.08533168513
18,46.0,159.0,0,45.8281771381,159.042129547,554,246,False,6.61778731236,19.3953816521,6.61778731236,19.3953816521,0.754435689506
19,45.0,160.0,0,44.8568519952,160.018185034,554,246,False,6.47752375382,19.514412809,6.47752375382,19.514412809,0.183962719538
20,46.0,164.0,0,45.9071882157,163.953387668,554,246,False,6.62919685425,19.9943155693,6.62919685425,19.9943155693,0.503300495415
21,49.0,166.0,0,48.9278466874,166.015744533,554,246,False,7.06539302345,20.245822504,7.06539302345,20.245822504,0.503510512555
22,48.0,165.0,0,48.0426551821,165.06096206,554,246,False,6.93756753532,20.1293856171,6.93756753532,20.1293856171,0.17290721228
23,46.0,160.0,0,46.037062786,160.096703326,554,246,False,6.64795130484,19.5239882105,6.64795130484,19.5239882105,0.671106236642
24,59.0,165.0,0,58.7472817861,164.861219944,554,246,False,8.48336199077,20.1050268224,8.48336199077,20.1050268224,1.92518525203
25,60.0,174.0,0,60.1070890592,173.86856307,554,246,False,8.67972405187,21.2034833012,8.67972405187,21.2034833012,1.11586947929
26,71.0,182.0,0,70.8711827806,181.965033168,554,246,False,10.2341058167,22.1908577034,10.2341058167,22.1908577034,1.84146976107
27,69.0,189.0,0,69.1757854698,189.005474664,554,246,False,9.98928310033,23.0494481298,9.98928310033,23.0494481298,0.89281335264
28,70.0,192.0,0,70.022718814,192.074271472,554,246,False,10.1115839443,23.4236916429,10.1115839443,23.4236916429,0.393720336757
29,58.0,193.0,0,58.2382917529,193.066811392,554,246,False,8.40986162497,23.5447330966,8.40986162497,23.5447330966,1.70602165446
30,54.0,197.0,0,53.9571226241,196.973265183,554,246,False,7.79164225619,24.0211299004,7.79164225619,24.0211299004,0.780480046245
31,54.0,199.0,0,53.9063714834,199.023237112,554,246,False,7.78431357161,24.2711264771,7.78431357161,24.2711264771,0.250103974345
32,55.0,200.0,0,54.9435510618,200.028086021,554,246,False,7.93408679593,24.393669027,7.93408679593,24.393669027,0.193516653684
33,55.0,201.0,0,54.9957655623,201.011397685,554,246,False,7.941626796,24.5135850835,7.941626796,24.5135850835,0.120152870245
34,55.0,201.0,0,54.9992259625,201.022128905,554,246,False,7.94212649278,24.5148937689,7.94212649278,24.5148937689,0.00140084055428
35,56.0,202.0,0,55.9819136619,201.991267143,554,246,False,8.0840308537,24.6330813589,8.0840308537,24.6330813589,0.184675808051
36,56.0,202.0,0,56.0102435546,202.013768848,554,246,False,8.08812181294,24.6358254693,8.08812181294,24.6358254693,0.00492606223668
37,56.0,202.0,0,56.00463073,202.005946532,554,246,False,8.08731129675,24.6348715283,8.08731129675,24.6348715283,0.00125177469039
38,56.0,202.0,0,56.0017648407,202.00225535,554,246,False,8.08689744992,24.6344213841,8.08689744992,24.6344213841,0.000611472772453
39,56.0,202.0,0,56.0006596446,202.000842469,554,246,False,8.08673785482,24.6342490816,8.08673785482,24.6342490816,0.000234859042749
40,56.0,202.0,0,56.0002459487,202.00031409,554,246,False,8.08667811534,24.6341846451,8.08667811534,24.6341846451,8.78684431742e-05
41,56.0,202.0,0,56.0000916731,202.000117071,554,246,False,8.08665583727,24.6341606184,8.08665583727,24.6341606184,3.2765757188e-05
42,65.0,196.0,0,64.8395072198,196.1070616,554,246,False,9.36310573571,23.9154953171,9.36310573571,23.9154953171,1.46485636107
43,67.0,191.0,0,67.0573541404,191.027188527,554,246,False,9.68337243905,23.2959986009,9.68337243905,23.2959986009,0.697385791849
44,67.0,190.0,0,67.0626567125,189.938179795,554,246,False,9.68413815343,23.1631926579,9.68413815343,23.1631926579,0.132808150334
45,67.0,190.0,0,67.0253285733,189.955678978,554,246,False,9.67874780842,23.1653267046,9.67874780842,23.1653267046,0.00579741103294
46,67.0,190.0,0,67.0095348833,189.982462534,554,246,False,9.67646713116,23.168592992,9.67646713116,23.168592992,0.00398373211765
47,84.0,194.0,0,83.7003407521,193.922069474,554,246,False,12.0866918054,23.6490328627,12.0866918054,23.6490328627,2.45764225417
48,89.0,195.0,0,89.087838045,195.021046512,554,246,False,12.8646697538,23.7830544527,12.8646697538,23.7830544527,0.789437442002
49,89.0,194.0,0,89.1314685429,194.04591419,554,246,False,12.8709701867,23.6641358768,12.8709701867,23.6641358768,0.11908536072
50,90.0,195.0,0,90.0358887459,194.983262103,554,246,False,13.0015723821,23.7784465979,13.0015723821,23.7784465979,0.173562306955
51,91.0,195.0,0,91.0127488293,195.009977923,554,246,False,13.14263521,23.7817046248,13.14263521,23.7817046248,0.141100447065
52,100.0,186.0,0,99.8620310364,186.16502191,554,246,False,14.420509897,22.7030514524,14.420509897,22.7030514524,1.67226085934
53,102.0,185.0,0,102.066601234,184.926534746,554,246,False,14.738859384,22.5520164324,14.738859384,22.5520164324,0.35236057264
54,101.0,176.0,0,101.083980352,176.108849922,554,246,False,14.5969646718,21.4766890149,14.5969646718,21.4766890149,1.08464886683
55,101.0,169.0,0,101.016295404,169.011416754,554,246,False,14.5871906721,20.6111483846,14.5871906721,20.6111483846,0.865595814265
56,101.0,167.0,0,101.005355464,166.913678428,554,246,False,14.5856108973,20.3553266376,14.5856108973,20.3553266376,0.255826624814
57,101.0,166.0,0,101.0019617,165.945655739,554,246,False,14.5851208231,20.2372750901,14.5851208231,20.2372750901,0.118052564671
58,101.0,166.0,0,101.000729511,165.960847743,554,246,False,14.5849428897,20.2391277735,14.5849428897,20.2391277735,0.00186120824741
59,101.0,166.0,0,101.000271821,165.98450302,554,246,False,14.5848767973,20.2420125634,14.5848767973,20.2420125634,0.00288554688895
60,101.0,167.0,0,101.000101308,166.976344434,554,246,False,14.5848521744,20.3629688334,14.5848521744,20.3629688334,0.120956272506
61,102.0,168.0,0,101.982201431,167.990327577,554,246,False,14.7266716868,20.4866253143,14.7266716868,20.4866253143,0.188158707849
62,102.0,168.0,0,102.010348969,168.014190321,554,246,False,14.7307363132,20.489535405,14.7307363132,20.489535405,0.00499898150123
63,102.0,169.0,0,102.004669931,168.988304222,554,246,False,14.7299162355,20.6083297832,14.7299162355,20.6083297832,0.118797208774
64,102.0,170.0,0,102.001779447,169.994827999,554,246,False,14.7294988371,20.7310765852,14.7294988371,20.7310765852,0.122747511749
65,103.0,171.0,0,102.982828761,170.998033419,554,246,False,14.8711666081,20.8534187096,14.8711666081,20.8534187096,0.187182672097
66,103.0,172.0,0,103.010582873,171.999265164,554,246,False,14.8751744221,20.975520142,14.8751744221,20.975520142,0.122167190141
67,103.0,174.0,0,103.004757115,173.981889699,554,246,False,14.8743331574,21.2173036218,14.8743331574,21.2173036218,0.241784943427
68,104.0,174.0,0,103.983975615,174.028069105,554,246,False,15.0157365509,21.2229352567,15.0157365509,21.2229352567,0.14151549387
69,104.0,176.0,0,104.011012096,175.976455402,554,246,False,15.0196407359,21.4605433417,15.0196407359,21.4605433417,0.237640158049
70,104.0,176.0,0,104.004917178,176.025269844,554,246,False,15.0187606033,21.4664963224,15.0187606033,21.4664963224,0.0060176916605
71,104.0,178.0,0,104.001871604,177.975375043,554,246,False,15.0183208092,21.7043140296,15.0183208092,21.7043140296,0.237818113848
72,105.0,179.0,0,104.982863109,179.007029078,554,246,False,15.1599802323,21.8301254973,15.1599802323,21.8301254973,0.189462179748
73,105.0,181.0,0,105.010595676,180.985559113,554,246,False,15.1639849352,22.0714096479,15.1639849352,22.0714096479,0.241317382259
74,105.0,182.0,0,105.004761887,182.011637545,554,246,False,15.1631425108,22.196541164,15.1631425108,22.196541164,0.125134351797
75,106.0,185.0,0,105.983977393,184.969479324,554,246,False,15.3045454719,22.5572535761,15.3045454719,22.5572535761,0.387438048786
76,106.0,186.0,0,106.011012758,186.02262899,554,246,False,15.3084494957,22.6856864622,15.3084494957,22.6856864622,0.128492208454
77,106.0,188.0,0,106.004917425,187.992225133,554,246,False,15.3075693032,22.9258811138,15.3075693032,22.9258811138,0.240196264311
78,107.0,189.0,0,106.984035369,189.014162831,554,246,False,15.448958176,23.0505076623,15.448958176,23.0505076623,0.188474374773
79,107.0,192.0,0,107.011034367,191.970422488,554,246,False,15.4528569483,23.4110271327,15.4528569483,23.4110271327,0.360540551032
80,107.0,194.0,0,107.004925479,194.005144288,554,246,False,15.4519747984,23.6591639376,15.4519747984,23.6591639376,0.248138372936
81,107.0,196.0,0,107.001874698,196.002691089,554,246,False,15.4515342524,23.902767206,15.4515342524,23.902767206,0.243603666769
82,108.0,198.0,0,107.982864263,198.001040037,554,246,False,15.5931933954,24.1464682972,15.5931933954,24.1464682972,0.281882128993
83,108.0,199.0,0,108.010596105,199.018225737,554,246,False,15.5971979935,24.2705153338,15.5971979935,24.2705153338,0.124111659774
84,108.0,201.0,0,108.004762047,200.989810328,554,246,False,15.5963555303,24.510952479,15.5963555303,24.510952479,0.240438621185
85,108.0,202.0,0,108.001813781,202.013225773,554,246,False,15.5959297879,24.6357592406,15.5959297879,24.6357592406,0.124807487732
86,107.0,202.0,0,107.018514213,202.023580443,554,246,False,15.4539370705,24.6370220052,15.4539370705,24.6370220052,0.141998332277
87,105.0,205.0,0,105.025590507,204.956172355,554,246,False,15.1661502537,24.9946551652,15.1661502537,24.9946551652,0.459045454206
88,106.0,199.0,0,105.956923402,199.141673748,554,246,False,15.3006387584,24.2855699693,15.3006387584,24.2855699693,0.721726383782
89,109.0,204.0,0,108.945754161,203.86416591,554,246,False,15.732238868,24.8614836476,15.732238868,24.8614836476,0.71969105834
90,85.0,197.0,0,85.4595349775,197.15438119,554,246,False,12.3407270726,24.0432172183,12.3407270726,24.0432172183,3.48882676669
91,74.0,190.0,0,73.9623621111,190.067350945,554,246,False,10.6804855034,23.1789452372,10.6804855034,23.1789452372,1.87172864627
92,76.0,179.0,0,75.7441019417,179.096917533,554,246,False,10.9377764537,21.841087504,10.9377764537,21.841087504,1.36237364452
93,77.0,175.0,0,76.9108844928,174.914705062,554,246,False,11.1062649087,21.3310615929,11.1062649087,21.3310615929,0.537135727233
94,75.0,176.0,0,75.0205939172,175.87321718,554,246,False,10.8332987606,21.4479533146,10.8332987606,21.4479533146,0.296941395923
95,76.0,161.0,0,75.9567417032,161.233581485,554,246,False,10.9684825564,19.6626318884,10.9684825564,19.6626318884,1.79043214157
96,77.0,159.0,0,76.9814395196,158.868626547,554,246,False,11.1164533602,19.3742227496,11.1164533602,19.3742227496,0.32415303502
97,78.0,160.0,0,77.9929655799,159.887072992,554,246,False,11.2625221054,19.4984235356,11.2625221054,19.4984235356,0.191733965568
98,78.0,161.0,0,78.0152089093,160.954849459,554,246,False,11.2657341385,19.6286401779,11.2657341385,19.6286401779,0.130256251647
99,78.0,162.0,0,78.0065218858,161.983025221,554,246,False,11.2644796947,19.754027466,11.2644796947,19.754027466,0.125393562967
100,79.0,164.0,0,78.9846353136,163.975829902,554,246,False,11.405723511,19.9970524271,11.405723511,19.9970524271,0.281088860249
101,79.0,165.0,0,79.0112580683,165.007973867,554,246,False,11.4095679521,20.1229236423,11.4095679521,20.1229236423,0.125929911278
102,79.0,167.0,0,79.0050088602,166.985948351,554,246,False,11.4086655394,20.3641400428,11.4086655394,20.3641400428,0.241218088486
103,79.0,168.0,0,79.0019057759,168.011784395,554,246,False,11.4082174406,20.4892419994,11.4082174406,20.4892419994,0.125102759098
104,79.0,169.0,0,79.0007121733,169.005206798,554,246,False,11.4080450792,20.6103910729,11.4080450792,20.6103910729,0.121149196148
105,79.0,169.0,0,79.000265527,169.019815962,554,246,False,11.4079805815,20.6121726783,11.4079805815,20.6121726783,0.00178277245544
106,79.0,170.0,0,79.0000989702,169.99040481,554,246,False,11.40795653,20.730537172,11.40795653,20.730537172,0.118364496102
107,79.0,170.0,0,79.0000368879,170.01344743,554,246,False,11.407947565,20.7333472476,11.407947565,20.7333472476,0.00281008991012
108,79.0,171.0,0,79.0000137487,170.987990407,554,246,False,11.4079442236,20.8521939521,11.4079442236,20.8521939521,0.118846704559
109,79.0,171.0,0,79.0000051244,171.012545595,554,246,False,11.4079429783,20.8551884872,11.4079429783,20.8551884872,0.00299453538092
110,78.0,172.0,0,78.0178382375,171.987654186,554,246,False,11.2661138249,20.974104169,11.2661138249,20.974104169,0.185084975411
111,78.0,173.0,0,77.9896658162,172.994583948,554,246,False,11.2620456052,21.0969004815,11.2620456052,21.0969004815,0.12286368365
112,78.0,174.0,0,77.9953355792,173.997942373,554,246,False,11.2628643436,21.219261265,11.2628643436,21.219261265,0.12236352267
113,78.0,177.0,0,77.9982226064,176.96355857,554,246,False,11.2632812428,21.5809217768,11.2632812428,21.5809217768,0.361660752117
114,78.0,178.0,0,77.999335677,178.020383168,554,246,False,11.263441975,21.7098028254,11.263441975,21.7098028254,0.128881148764
