frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,zeroed_x_mm,zeroed_y_mm,speed_EL
2,49.0,74.0,0,49.0,74.0,551,241,False,7.11433756806,9.21161825726,7.11433756806,9.21161825726,
3,47.0,75.0,0,47.3333333333,74.8333333333,551,241,False,6.87235329703,9.31535269709,6.87235329703,9.31535269709,0.263281638994
4,46.0,74.0,0,46.049689441,74.0310559006,551,241,False,6.68598031811,9.215484137,6.68598031811,9.215484137,0.211444121613
5,45.0,74.0,0,45.0172667648,73.9973229822,551,241,False,6.5360822889,9.21128501853,6.5360822889,9.21128501853,0.149956832981
6,45.0,73.0,0,44.9880550315,73.0166678556,551,241,False,6.53184102091,9.08921176626,6.53184102091,9.08921176626,0.122146908577
7,45.0,72.0,0,44.9946624576,72.0070643204,551,241,False,6.53280035682,8.96353497764,6.53280035682,8.96353497764,0.125680450038
8,44.0,73.0,0,44.0158149696,72.9669802053,551,241,False,6.39068093932,9.08302658157,6.39068093932,9.08302658157,0.185677602954
9,44.0,72.0,0,43.9889088283,72.0216622107,551,241,False,6.38677442153,8.96535214241,6.38677442153,8.96535214241,0.11773926496
10,44.0,72.0,0,43.9950532873,71.991862932,551,241,False,6.38766653899,8.96164268863,6.38766653899,8.96164268863,0.00381522226188
11,44.0,71.0,0,43.9981173844,71.0140277697,551,241,False,6.38811141697,8.83992046926,6.38811141697,8.83992046926,0.121723032355
12,44.0,70.0,0,43.9992964587,70.0060448008,551,241,False,6.38828260743,8.71444541089,6.38828260743,8.71444541089,0.12547517515
13,43.0,70.0,0,43.0175740184,69.9844557325,551,241,False,6.245745774,8.711757975,6.245745774,8.711757975,0.142562166082
14,43.0,70.0,0,42.9895673334,69.9933547237,551,241,False,6.24167946764,8.71286573324,6.24167946764,8.71286573324,0.00421449589735
15,43.0,69.0,0,42.995298873,69.0153187735,551,241,False,6.2425116331,8.59111851952,6.2425116331,8.59111851952,0.12175005769
16,42.0,69.0,0,42.016045253,68.9887248229,551,241,False,6.10033324907,8.58780806924,6.10033324907,8.58780806924,0.142216918706
17,42.0,68.0,0,41.9889956822,68.0128210909,551,241,False,6.09640590667,8.46632627688,6.09640590667,8.46632627688,0.121545258627
18,41.0,68.0,0,41.0129220485,67.9877569519,551,241,False,5.95468922664,8.46320625957,5.95468922664,8.46320625957,0.14175102083
19,40.0,68.0,0,40.0056309081,67.9946222548,551,241,False,5.80844005925,8.46406086159,5.80844005925,8.46406086159,0.146251664288
20,39.0,67.0,0,39.0021377116,67.015792978,551,241,False,5.66274231747,8.34221489353,5.66274231747,8.34221489353,0.189932282389
21,38.0,67.0,0,38.0007986236,66.9889016512,551,241,False,5.51735733192,8.33886742546,5.51735733192,8.33886742546,0.145423517929
22,37.0,67.0,0,37.0002977485,66.9950506739,551,241,False,5.37209404697,8.33963286397,5.37209404697,8.33963286397,0.145265301607
23,36.0,66.0,0,36.0001109797,66.0159527412,551,241,False,5.22687636729,8.21775345326,5.22687636729,8.21775345326,0.189585772796
24,36.0,66.0,0,35.9822050364,65.9889612014,551,241,False,5.22427659331,8.21439351055,5.22427659331,8.21439351055,0.00424829845891
25,36.0,66.0,0,35.992513985,65.9950728694,551,241,False,5.22577335535,8.2151542991,5.22577335535,8.2151542991,0.00167901633114
26,36.0,66.0,0,35.9971690003,65.9981246862,551,241,False,5.22644921964,8.2155341933,5.22644921964,8.2155341933,0.000775314225254
27,30.0,81.0,0,30.1059608538,80.7317542664,551,241,False,4.37110139438,10.0495959668,4.37110139438,10.0495959668,2.02371008079
28,28.0,85.0,0,27.9732691861,85.0834168287,551,241,False,4.06145469127,10.5912967007,4.06145469127,10.5912967007,0.6239557403
29,28.0,86.0,0,27.9511952024,86.0933761531,551,241,False,4.05824975715,10.7170177784,4.05824975715,10.7170177784,0.12576192185
30,28.0,85.0,0,27.9799509248,85.0734560542,551,241,False,4.06242481667,10.5900567702,4.06242481667,10.5900567702,0.127029637154
31,27.0,85.0,0,27.0102747778,85.0113916291,551,241,False,3.92163699133,10.5823309082,3.92163699133,10.5823309082,0.140999647897
32,27.0,85.0,0,26.986842542,85.0034807961,551,241,False,3.91823485183,10.5813461572,3.91823485183,10.5813461572,0.00354179159397
33,27.0,84.0,0,26.9942830979,84.0190970627,551,241,False,3.91931515033,10.458808763,3.91931515033,10.458808763,0.122542156101
34,27.0,84.0,0,26.9978303208,83.9901332477,551,241,False,3.91983017362,10.4552033088,3.91983017362,10.4552033088,0.00364205280179
35,27.0,84.0,0,26.9991894656,83.9955097143,551,241,False,3.92002750862,10.4558725785,3.92002750862,10.4558725785,0.000697755712634
36,27.0,84.0,0,26.9996978123,83.9982875052,551,241,False,3.92010131576,10.4562183616,3.92010131576,10.4562183616,0.000353572406125
37,28.0,84.0,0,27.9820510382,83.9993598655,551,241,False,4.06272973331,10.4563518505,4.06272973331,10.4563518505,0.142628480021
38,29.0,84.0,0,28.9924565873,83.999761323,551,241,False,4.20943108346,10.4564018244,4.20943108346,10.4564018244,0.146701358653
39,28.0,84.0,0,28.0328202624,83.9999110372,551,241,False,4.07010094554,10.4564204611,4.07010094554,10.4564204611,0.139330139163
40,28.0,84.0,0,27.9961014511,83.999966842,551,241,False,4.06476972067,10.4564274077,4.06476972067,10.4564274077,0.00533122939693
41,29.0,83.0,0,28.9799386651,83.0178239691,551,241,False,4.20761359929,10.3341689588,4.20761359929,10.3341689588,0.18801995104
42,29.0,84.0,0,29.0094686591,83.9718241706,551,241,False,4.21190107573,10.4529241706,4.21190107573,10.4529241706,0.118832583011
43,30.0,84.0,0,29.986503731,84.0056684927,551,241,False,4.35375734751,10.4571371568,4.35375734751,10.4571371568,0.141918818683
44,30.0,85.0,0,30.0119913098,84.9850502262,551,241,False,4.35745790342,10.5790518954,4.35745790342,10.5790518954,0.121970888348
45,29.0,85.0,0,29.0231202418,85.0114477897,551,241,False,4.2138831567,10.5823378991,4.2138831567,10.5823378991,0.143612345274
46,28.0,85.0,0,28.0095098091,85.0050812509,551,241,False,4.06671648771,10.5815453839,4.06671648771,10.5815453839,0.147168802887
47,28.0,84.0,0,27.9857508367,84.0197691649,551,241,False,4.06326690914,10.4588924272,4.06326690914,10.4588924272,0.122701456369
48,27.0,84.0,0,27.0116739308,83.9903873678,551,241,False,3.92184013514,10.455234942,3.92184013514,10.455234942,0.141474059814
49,26.0,83.0,0,26.0051638628,83.0134409294,551,241,False,3.77570437209,10.3336233522,3.77570437209,10.3336233522,0.190118489437
50,26.0,82.0,0,25.9841272204,82.0058243115,551,241,False,3.77265005015,10.2081938977,3.77265005015,10.2081938977,0.125466636766
51,25.0,81.0,0,25.0110686015,81.0022097964,551,241,False,3.63137112181,10.0832626303,3.63137112181,10.0832626303,0.188593629732
52,25.0,81.0,0,24.987101911,80.9829891631,551,241,False,3.62789138454,10.0808700203,3.62789138454,10.0808700203,0.00422293190986
53,25.0,81.0,0,24.994378022,80.9928063303,551,241,False,3.62894780719,10.0820920743,3.62894780719,10.0820920743,0.00161537760727
54,25.0,81.0,0,24.9978656168,80.9972779661,551,241,False,3.62945417304,10.0826487095,3.62945417304,10.0826487095,0.000752495234949
55,25.0,81.0,0,24.999202617,80.9989835017,551,241,False,3.62964829285,10.0828610168,3.62964829285,10.0828610168,0.000287675000794
56,25.0,81.0,0,24.9997027138,80.999621042,551,241,False,3.62972090219,10.0829403787,3.62972090219,10.0829403787,0.000107565891197
57,25.0,81.0,0,24.9998891926,80.999858752,551,241,False,3.62974797715,10.0829699691,3.62974797715,10.0829699691,4.01079627123e-05
58,37.0,96.0,0,36.785922769,95.7324024405,551,241,False,5.34096882309,11.9168965694,5.34096882309,11.9168965694,2.50829893725
59,38.0,101.0,0,38.1061670268,101.065822175,551,241,False,5.53265582966,12.5808077396,5.53265582966,12.5808077396,0.691029630696
60,37.0,104.0,0,37.084141719,104.068128473,551,241,False,5.38426740022,12.9545388141,5.38426740022,12.9545388141,0.402111976936
61,35.0,105.0,0,35.0513302167,105.063151451,551,241,False,5.08912235451,13.0784005956,5.08912235451,13.0784005956,0.320081769115
62,35.0,106.0,0,34.9844145369,106.025344471,551,241,False,5.07940682931,13.1981756603,5.07940682931,13.1981756603,0.120168454933
63,33.0,107.0,0,33.0282023277,107.009532745,551,241,False,4.79538327807,13.3206887234,4.79538327807,13.3206887234,0.309319944887
64,34.0,107.0,0,33.9586300697,107.021393466,551,241,False,4.9304726054,13.3221651617,4.9304726054,13.3221651617,0.135097395345
65,33.0,108.0,0,33.0177706599,107.990991102,551,241,False,4.79386869835,13.4428619629,4.79386869835,13.4428619629,0.182286437323
66,33.0,108.0,0,32.9903753741,108.013665871,551,241,False,4.78989116139,13.4456845483,4.78989116139,13.4456845483,0.00487727263207
67,33.0,108.0,0,32.9956352036,108.005908147,551,241,False,4.790654839,13.4447188565,4.790654839,13.4447188565,0.00123116372003
68,33.0,108.0,0,32.9983359637,108.002241043,551,241,False,4.79104696388,13.4442623705,4.79104696388,13.4442623705,0.00060178182569
69,34.0,108.0,0,33.9815416799,108.000837137,551,241,False,4.93379915498,13.4440876104,4.93379915498,13.4440876104,0.142752298072
70,34.0,108.0,0,34.0101029843,108.000312103,551,241,False,4.93794598683,13.4440222535,4.93794598683,13.4440222535,0.00414734685797
71,30.0,105.0,0,30.0759235555,105.053625313,551,241,False,4.36674026214,13.0772147693,4.36674026214,13.0772147693,0.678839974079
72,28.0,104.0,0,27.9960783471,103.986874999,551,241,False,4.06476636619,12.9444242737,4.06476636619,12.9444242737,0.329881114251
