frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,zeroed_x_mm,zeroed_y_mm,speed_EL
2,,95.0,143.0,151,96.3333333333,144.0,553,237,False,13.936106088,18.2278481013,13.936106088,18.2278481013,
3,,108.0,128.0,151,107.565217391,128.596273292,553,237,False,15.5609717745,16.2780092775,15.5609717745,16.2780092775,2.53812134025
4,,103.0,106.0,151,103.145228216,106.422701111,553,237,False,14.9215520023,13.4712279887,14.9215520023,13.4712279887,2.87869394827
5,,113.0,99.0,151,112.794111642,98.8932061762,553,237,False,16.3174121724,12.5181273641,16.3174121724,12.5181273641,1.6902149021
6,,105.0,82.0,151,105.233145353,82.1265933957,553,237,False,15.2236014977,10.3957713159,15.2236014977,10.3957713159,2.3876383703
7,,107.0,68.0,151,106.923270753,68.0016126554,553,237,False,15.4681042681,8.6077990703,15.4681042681,8.6077990703,1.80461252234
8,,100.0,47.0,151,100.124110773,47.1232846233,553,237,False,14.4845006543,5.96497273713,14.4845006543,5.96497273713,2.81993033536
9,,83.0,38.0,151,83.2319313186,37.837782842,553,237,False,12.0407857242,4.78959276481,12.0407857242,4.78959276481,2.71168964651
10,,67.0,43.0,151,67.0774934427,42.6798683109,553,237,False,9.70379651974,5.40251497606,9.70379651974,5.40251497606,2.41602818255
11,,62.0,43.0,151,61.8322550013,42.957437089,553,237,False,8.94499168192,5.43765026443,8.94499168192,5.43765026443,0.75961784496
12,,59.0,41.0,151,58.8923965585,41.0234819282,553,237,False,8.51969570467,5.1928458137,8.51969570467,5.1928458137,0.490719764603
13,,56.0,40.0,151,55.957737129,39.992798643,553,237,False,8.09515184506,5.06237957506,8.09515184506,5.06237957506,0.444138411026
14,,55.0,38.0,151,54.9484720812,38.0143888184,553,237,False,7.94914605153,4.8119479517,7.94914605153,4.8119479517,0.289885649399
15,,52.0,34.0,151,52.0147553506,34.0418526125,553,237,False,7.5247385679,4.30909526741,7.5247385679,4.30909526741,0.658014083634
16,,51.0,35.0,151,50.9714520778,34.9281636896,553,237,False,7.37380861885,4.42128654299,7.37380861885,4.42128654299,0.188060447295
17,,60.0,34.0,151,59.8093671308,34.0047139303,553,237,False,8.65234967534,4.30439416839,8.65234967534,4.30439416839,1.28387345964
18,,63.0,33.0,151,63.0273526078,33.0032638357,553,237,False,9.11788102825,4.17762833363,9.11788102825,4.17762833363,0.482482142059
19,,65.0,32.0,151,65.032740216,32.0012885936,553,237,False,9.40799135132,4.05079602451,9.40799135132,4.05079602451,0.316623489635
20,,67.0,35.0,151,67.0132816966,34.9291384191,553,237,False,9.69450729788,4.42140992647,9.69450729788,4.42140992647,0.468450693202
21,,62.0,41.0,151,62.1298562168,40.9166657479,553,237,False,8.98804429899,5.17932477822,8.98804429899,5.17932477822,1.03611046288
