frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
2,,59.0,116.0,30,59.0,115.5,550,231,False
3,,58.0,119.0,30,58.0372670807,118.869565217,550,231,False
4,,57.0,133.0,30,57.0183375719,132.709543568,550,231,False
5,,48.0,142.0,30,48.154135847,141.9707181,550,231,False
6,,34.0,157.0,30,34.1541153064,156.885404432,550,231,False
7,,33.0,163.0,30,32.8300635744,163.112943437,550,231,False
8,,36.0,179.0,30,35.854428468,178.871167616,550,231,False
9,,36.0,193.0,30,35.9953174602,192.97947534,550,231,False
10,,31.0,199.0,30,31.0898089063,199.136356679,550,231,False
11,,46.0,199.0,30,45.6811278609,199.164731663,550,231,False
12,,42.0,202.0,30,42.2031801801,202.01334018,550,231,False
13,,47.0,198.0,30,46.9306121347,198.127526571,550,231,False
14,,49.0,196.0,30,49.0207025102,196.01772331,550,231,False
15,,51.0,193.0,30,51.0099444883,193.023015622,550,231,False
16,,52.0,190.0,30,52.0216494286,190.009363571,550,231,False
17,,54.0,189.0,30,53.9910914087,188.967854872,550,231,False
18,,55.0,187.0,30,55.0137034912,187.004150025,550,231,False
19,,56.0,185.0,30,56.0059221798,185.002318729,550,231,False
20,,57.0,184.0,30,57.0022462737,183.98306484,550,231,False
21,,58.0,183.0,30,58.0008390864,182.992836215,550,231,False
22,,59.0,182.0,30,59.0003128296,181.997289185,550,231,False
23,,60.0,181.0,30,60.0001166007,180.998987687,550,231,False
24,,61.0,180.0,30,61.0000434591,179.999622602,550,231,False
25,,61.0,180.0,30,61.0178525255,179.982023006,550,231,False
26,,62.0,179.0,30,61.9896711416,179.010282467,550,231,False
27,,63.0,178.0,30,62.9953375641,178.004645145,550,231,False
28,,63.0,178.0,30,63.0160596738,177.983933882,550,231,False
29,,64.0,177.0,30,63.9890010571,177.010996541,550,231,False
30,,64.0,177.0,30,64.0129240518,176.987075053,550,231,False
31,,65.0,177.0,30,64.9877953272,176.994368012,550,231,False
32,,65.0,176.0,30,65.0124728855,176.015698213,550,231,False
33,,66.0,176.0,30,65.9876270858,175.988866331,550,231,False
34,,66.0,176.0,30,66.0124101753,175.995037509,550,231,False
35,,66.0,176.0,30,66.0054400401,175.998111507,550,231,False
36,,67.0,176.0,30,66.9842302405,175.999294268,550,231,False
37,,67.0,176.0,30,67.0111070027,175.999736874,550,231,False
38,,68.0,175.0,30,67.9871162239,175.017738252,550,231,False
39,,68.0,176.0,30,68.0122196842,175.971792222,550,231,False
40,,68.0,176.0,30,68.0053690371,176.005656585,550,231,False
41,,68.0,175.0,30,68.002040104,175.020718443,550,231,False
42,,69.0,175.0,30,68.9829259159,174.990776344,550,231,False
43,,69.0,175.0,30,69.0106190847,174.995751262,550,231,False
44,,69.0,175.0,30,69.004770612,174.998377623,550,231,False
45,,70.0,175.0,30,69.9839806453,174.999393458,550,231,False
46,,70.0,175.0,30,70.0110139705,174.999773844,550,231,False
47,,70.0,175.0,30,70.0049178768,174.999915704,550,231,False
48,,71.0,175.0,30,70.9840355372,174.999968581,550,231,False
49,,71.0,175.0,30,71.0110344297,174.99998829,550,231,False
50,,71.0,175.0,30,71.0049255023,174.999995635,550,231,False
51,,71.0,175.0,30,71.0018747069,174.999998373,550,231,False
52,,71.0,176.0,30,71.0007005934,175.982163066,550,231,False
53,,72.0,176.0,30,71.9824248834,176.01033467,550,231,False
54,,72.0,177.0,30,72.0104322572,176.986828274,550,231,False
55,,72.0,177.0,30,72.0047009744,177.012112357,550,231,False
56,,72.0,178.0,30,72.0017910177,177.987492707,550,231,False
57,,72.0,178.0,30,72.000669401,178.01236009,550,231,False
58,,73.0,178.0,30,72.9824132575,178.005421373,550,231,False
59,,73.0,179.0,30,73.0104279241,178.984223283,550,231,False
60,,73.0,180.0,30,73.0046993594,179.993268082,550,231,False
61,,73.0,180.0,30,73.0017904157,180.015286481,550,231,False
62,,73.0,180.0,30,73.0006691766,180.006549114,550,231,False
63,,73.0,180.0,30,73.0002495015,180.002481709,550,231,False
64,,74.0,180.0,30,73.9822566697,180.000926921,550,231,False
65,,74.0,180.0,30,74.0103695573,180.000345571,550,231,False
66,,74.0,179.0,30,74.004677605,179.017965132,550,231,False
67,,75.0,179.0,30,74.9839459799,178.989713112,550,231,False
68,,75.0,178.0,30,75.0110010502,178.013189535,550,231,False
69,,76.0,178.0,30,75.9870767336,177.987894281,550,231,False
70,,76.0,178.0,30,76.0122049655,177.99467344,550,231,False
71,,76.0,177.0,30,76.0053635512,177.015812055,550,231,False
72,,77.0,178.0,30,76.9842017317,177.971072434,550,231,False
73,,77.0,178.0,30,77.011096377,178.00538822,550,231,False
74,,77.0,179.0,30,77.0049485912,178.98494576,550,231,False
75,,77.0,179.0,30,77.0018833125,179.011408853,550,231,False
76,,78.0,179.0,30,77.9828674733,179.005066739,550,231,False
77,,78.0,179.0,30,78.0105973021,179.001927428,550,231,False
78,,78.0,179.0,30,78.0047624933,179.000720247,550,231,False
79,,78.0,179.0,30,78.0018139469,179.000268537,550,231,False
80,,79.0,179.0,30,78.9828416194,179.000100092,550,231,False
81,,79.0,180.0,30,79.0105876659,179.982200978,550,231,False
82,,79.0,180.0,30,79.0047589017,180.0103488,550,231,False
83,,79.0,181.0,30,79.0018126083,180.986833541,550,231,False
84,,79.0,181.0,30,79.0006774481,181.01211432,550,231,False
85,,80.0,182.0,30,79.9824162568,181.987493438,550,231,False
86,,80.0,182.0,30,80.010429042,182.012360363,550,231,False
87,,80.0,183.0,30,80.0046997761,182.987585147,550,231,False
88,,80.0,183.0,30,80.001790571,183.012394544,550,231,False
89,,80.0,184.0,30,80.0006692345,183.987597886,550,231,False
90,,80.0,185.0,30,80.000249523,184.994562965,550,231,False
91,,80.0,185.0,30,80.0000930053,185.015770879,550,231,False
92,,80.0,186.0,30,80.0000346647,185.988893415,550,231,False
93,,81.0,186.0,30,80.9821765925,186.012883932,550,231,False
94,,81.0,186.0,30,81.0103397111,186.005616701,550,231,False
95,,81.0,187.0,30,81.0046664809,186.984296089,550,231,False
96,,81.0,187.0,30,81.0017781614,187.011131546,550,231,False
97,,81.0,187.0,30,81.0006646092,187.004961699,550,231,False
98,,81.0,187.0,30,81.0002477991,187.001888198,550,231,False
99,,82.0,187.0,30,81.9822560352,187.000705622,550,231,False
100,,82.0,188.0,30,82.0103693209,187.982426758,550,231,False
101,,82.0,188.0,30,82.0046775169,188.010432956,550,231,False
102,,82.0,188.0,30,82.0017822747,188.004701235,550,231,False
103,,83.0,188.0,30,82.9828298147,188.001791115,550,231,False
104,,83.0,188.0,30,83.0105832661,188.000669437,550,231,False
105,,83.0,188.0,30,83.0047572618,188.000249599,550,231,False
106,,83.0,187.0,30,83.0018119971,187.017929361,550,231,False
107,,84.0,186.0,30,83.9828408927,186.007536107,550,231,False
108,,84.0,186.0,30,84.0105873951,185.985013342,550,231,False
109,,85.0,185.0,30,84.9869224732,185.011398966,550,231,False
110,,85.0,184.0,30,85.0121474663,184.005061375,550,231,False
111,,85.0,183.0,30,85.0053421202,183.001925349,550,231,False
112,,86.0,182.0,30,85.984193744,182.000719469,550,231,False
113,,86.0,182.0,30,86.0110933999,181.982431918,550,231,False
114,,87.0,181.0,30,86.9871111539,181.010434879,550,231,False
115,,87.0,180.0,30,87.0122177945,180.004701952,550,231,False
116,,88.0,180.0,30,87.9875320052,179.983955054,550,231,False
117,,88.0,179.0,30,88.0123747371,179.011004432,550,231,False
118,,88.0,179.0,30,88.0054268317,178.987077994,550,231,False
119,,89.0,177.0,30,88.9842253175,177.030041763,550,231,False
120,,89.0,177.0,30,89.0111051678,176.977192503,550,231,False
121,,89.0,176.0,30,89.0049518676,176.007708334,550,231,False
122,,90.0,176.0,30,89.9840482061,175.985812372,550,231,False
123,,90.0,175.0,30,90.0110391516,175.011731942,550,231,False
124,,90.0,175.0,30,90.0049272622,174.987350836,550,231,False
125,,91.0,175.0,30,90.9840390353,174.994470881,550,231,False
126,,91.0,175.0,30,91.0110357335,174.997900231,550,231,False
127,,91.0,175.0,30,91.0049259882,174.999215518,550,231,False
128,,91.0,175.0,30,91.001874888,174.999707522,550,231,False
129,,91.0,176.0,30,91.0007006609,175.982054657,550,231,False
130,,92.0,175.0,30,91.9824249085,175.028130591,550,231,False
131,,85.0,188.0,30,85.1352865598,187.762442388,550,231,False
132,,81.0,180.0,30,81.003702019,180.274151426,550,231,False
133,,71.0,179.0,30,71.1061619099,178.994682845,550,231,False
134,,76.0,183.0,30,75.7770376157,182.903692269,550,231,False
135,,81.0,185.0,30,80.9043350755,184.99526331,550,231,False
136,,80.0,173.0,30,80.0707609572,173.249434251,550,231,False
137,,75.0,181.0,30,75.1028115876,180.748262603,550,231,False
138,,74.0,183.0,30,73.9706320876,182.996695669,550,231,False
139,,69.0,181.0,30,69.0571602537,181.074445677,550,231,False
140,,79.0,182.0,30,78.7570188142,181.977859605,550,231,False
141,,96.0,184.0,30,95.7719354759,183.971524239,550,231,False
142,,112.0,186.0,30,111.926253025,185.98841884,550,231,False
143,,129.0,184.0,30,128.955215709,184.06698252,550,231,False
144,,137.0,174.0,30,137.143007375,174.171068053,550,231,False
145,,118.0,161.0,30,118.542524306,161.124260425,550,231,False
146,,115.0,145.0,30,114.940237713,145.102718018,550,231,False
147,,110.0,142.0,30,110.000861763,141.809111552,550,231,False
148,,96.0,136.0,30,96.1619553202,135.971394834,550,231,False
149,,102.0,128.0,30,101.711371696,128.027046917,550,231,False
150,,117.0,121.0,30,116.715195833,120.994049017,550,231,False
151,,130.0,117.0,30,129.921040513,116.943505792,550,231,False
152,,142.0,113.0,30,141.989708163,112.97634635,550,231,False
153,,156.0,111.0,30,155.96140725,110.955386968,550,231,False
154,,159.0,105.0,30,159.180152203,105.053004283,550,231,False
155,,144.0,85.0,30,144.397508939,85.272796353,550,231,False
156,,139.0,75.0,30,138.985603976,74.9354214019,550,231,False
157,,137.0,58.0,30,136.933346375,58.0928287593,550,231,False
158,,135.0,42.0,30,134.972224229,42.0223565487,550,231,False
159,,143.0,43.0,30,142.811143912,42.70452921,550,231,False
