frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
2,90.0,77.0,16,90.0,77.0,521,212,False
3,87.0,83.0,16,87.5,82.0,521,212,False
4,88.0,82.0,16,87.9813664596,82.0,521,212,False
5,89.0,82.0,16,88.9800562174,82.0,521,212,False
6,89.0,81.0,16,89.0102353818,81.0183774423,521,212,False
7,90.0,81.0,16,89.9867538484,80.9898240335,521,212,False
8,90.0,81.0,16,90.0120926291,80.9953918416,521,212,False
9,90.0,80.0,16,90.0053221599,80.016081222,521,212,False
10,90.0,81.0,16,90.0020226572,80.9711724326,521,212,False
11,69.0,83.0,16,69.375319214,82.9697527879,521,212,False
12,53.0,84.0,16,53.0686304353,84.0056294261,521,212,False
13,37.0,101.0,16,37.0221696152,100.717525819,521,212,False
14,30.0,130.0,16,29.8475728206,129.667063372,521,212,False
15,39.0,157.0,16,38.6501169693,156.900687656,521,212,False
16,44.0,166.0,16,43.9269135947,166.285224428,521,212,False
17,72.0,159.0,16,71.5652671127,159.40710957,521,212,False
18,90.0,160.0,16,89.9968310715,160.02344027,521,212,False
19,126.0,150.0,16,125.685367384,150.198796548,521,212,False
20,163.0,149.0,16,162.84989502,148.922662913,521,212,False
21,178.0,159.0,16,178.334881381,158.767728904,521,212,False
22,189.0,168.0,16,189.214863839,167.921529382,521,212,False
23,216.0,159.0,16,215.799011082,159.292194339,521,212,False
24,247.0,157.0,16,246.840292312,156.999433633,521,212,False
25,270.0,161.0,16,270.079107194,160.887532163,521,212,False
26,291.0,161.0,16,291.0717914,161.024054766,521,212,False
27,305.0,163.0,16,305.153636652,162.976450081,521,212,False
28,324.0,151.0,16,323.9741529,151.239375138,521,212,False
29,339.0,156.0,16,339.057734471,155.79787658,521,212,False
30,360.0,144.0,16,359.917724463,144.213940862,521,212,False
31,377.0,149.0,16,377.035712881,148.790364771,521,212,False
32,408.0,143.0,16,407.766778689,143.104217306,521,212,False
33,440.0,140.0,16,439.883440699,139.994060857,521,212,False
34,460.0,149.0,16,460.169174347,148.781607387,521,212,False
35,486.0,152.0,16,485.966210752,152.015274423,521,212,False
36,484.0,154.0,16,484.482188965,154.02815562,521,212,False
37,498.0,161.0,16,497.918015855,160.922387344,521,212,False
38,489.0,171.0,16,489.367154947,170.913347236,521,212,False
39,486.0,172.0,16,486.048858845,172.125467683,521,212,False
40,490.0,155.0,16,489.889145596,155.375367461,521,212,False
41,485.0,123.0,16,485.113033402,123.423175486,521,212,False
42,482.0,91.0,16,482.013843087,91.1712799193,521,212,False
43,482.0,77.0,16,481.950296909,76.743433476,521,212,False
44,486.0,81.0,16,485.90750413,80.5679868051,521,212,False
45,492.0,92.0,16,491.926312837,91.6980299361,521,212,False
46,495.0,97.0,16,495.024168128,96.9877238147,521,212,False
47,499.0,99.0,16,498.993642381,99.0537320192,521,212,False
48,483.0,105.0,16,483.353621655,104.95147175,521,212,False
49,442.0,93.0,16,442.594744398,93.2996859679,521,212,False
50,445.0,67.0,16,444.459026181,67.3766132087,521,212,False
51,425.0,45.0,16,425.172109887,45.0817017718,521,212,False
52,406.0,37.0,16,406.064196988,36.7779353664,521,212,False
53,399.0,22.0,16,398.809893615,22.0300032151,521,212,False
54,380.0,18.0,16,380.132937769,17.8203796791,521,212,False
55,392.0,17.0,16,391.506374339,16.8704128743,521,212,False
56,405.0,16.0,16,404.772188194,15.9487032537,521,212,False
57,419.0,13.0,16,418.895157232,13.0164101189,521,212,False
58,426.0,11.0,16,426.084823851,10.9899802288,521,212,False
59,429.0,10.0,16,429.108889724,9.97765695664,521,212,False
60,430.0,9.0,16,430.079955507,8.99078189256,521,212,False
61,430.0,8.0,16,430.049521057,7.99652165443,521,212,False
62,431.0,7.0,16,431.001564652,6.99870152789,521,212,False
63,432.0,6.0,16,431.999774773,5.99951594194,521,212,False
64,434.0,5.0,16,433.982041041,4.99981957947,521,212,False
