frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
2,,271.0,20.0,20,271.166666667,20.0,523,204,False
3,,272.0,20.0,20,271.968944099,20.0,523,204,False
4,,273.0,20.0,20,272.981127024,20.0,523,204,False
5,,273.0,20.0,20,273.010919216,20.0,523,204,False
6,,275.0,19.0,20,274.969110539,19.0179119904,523,204,False
7,,275.0,19.0,20,275.022506206,18.9896872302,523,204,False
8,,274.0,20.0,20,274.027854375,19.9775053899,523,204,False
9,,275.0,19.0,20,274.975640257,19.026396418,523,204,False
10,,275.0,20.0,20,275.007094545,19.9758300663,523,204,False
11,,276.0,20.0,20,275.985581913,20.0072003564,523,204,False
12,,276.0,20.0,20,276.011645966,20.0034593599,523,204,False
13,,276.0,19.0,20,276.005155115,19.0191628042,523,204,False
14,,276.0,20.0,20,276.001960368,19.9723249513,523,204,False
15,,277.0,19.0,20,276.982896197,19.023691554,523,204,False
16,,277.0,20.0,20,277.010608008,19.9747849331,523,204,False
17,,277.0,19.0,20,277.004766484,19.0246453733,523,204,False
18,,277.0,20.0,20,277.001815434,19.9751422043,523,204,False
19,,277.0,19.0,20,277.000678501,19.0247786184,523,204,False
20,,277.0,19.0,20,277.000252977,18.9930281984,523,204,False
21,,277.0,19.0,20,277.000094293,18.9966259068,523,204,False
22,,277.0,19.0,20,277.000035145,18.9987053075,523,204,False
23,,278.0,19.0,20,277.982176771,18.9995156721,523,204,False
24,,278.0,19.0,20,278.010339778,18.9998193985,523,204,False
25,,278.0,19.0,20,278.004666506,18.999932683,523,204,False
26,,278.0,19.0,20,278.001778171,18.9999749097,523,204,False
27,,278.0,19.0,20,278.000664613,18.9999906485,523,204,False
28,,278.0,19.0,20,278.0002478,18.9999965145,523,204,False
29,,278.0,19.0,20,278.000092363,18.9999987009,523,204,False
30,,278.0,19.0,20,278.000034425,18.9999995158,523,204,False
31,,278.0,19.0,20,278.000012831,18.9999998195,523,204,False
32,,278.0,19.0,20,278.000004782,18.9999999327,523,204,False
33,,279.0,19.0,20,278.982165455,18.9999999749,523,204,False
34,,279.0,19.0,20,279.01033556,18.9999999907,523,204,False
35,,279.0,19.0,20,279.004664934,18.9999999965,523,204,False
36,,279.0,19.0,20,279.001777585,18.9999999987,523,204,False
37,,279.0,19.0,20,279.000664394,18.9999999995,523,204,False
38,,279.0,19.0,20,279.000247719,18.9999999998,523,204,False
39,,279.0,19.0,20,279.000092333,18.9999999999,523,204,False
40,,279.0,19.0,20,279.000034414,19.0,523,204,False
41,,279.0,19.0,20,279.000012827,19.0,523,204,False
42,,279.0,19.0,20,279.000004781,19.0,523,204,False
43,,279.0,19.0,20,279.000001782,19.0,523,204,False
44,,279.0,19.0,20,279.000000664,19.0,523,204,False
45,,279.0,19.0,20,279.000000248,19.0,523,204,False
46,,279.0,19.0,20,279.000000092,19.0,523,204,False
47,,279.0,19.0,20,279.000000034,19.0,523,204,False
48,,279.0,19.0,20,279.000000013,19.0,523,204,False
49,,279.0,19.0,20,279.000000005,19.0,523,204,False
50,,279.0,19.0,20,279.000000002,19.0,523,204,False
51,,279.0,19.0,20,279.000000001,19.0,523,204,False
52,,279.0,19.0,20,279.0,19.0,523,204,False
53,,279.0,19.0,20,279.0,19.0,523,204,False
54,,279.0,19.0,20,279.0,19.0,523,204,False
55,,279.0,19.0,20,279.0,19.0,523,204,False
56,,279.0,19.0,20,279.0,19.0,523,204,False
57,,280.0,18.0,20,279.982163672,18.0178363276,523,204,False
58,,280.0,18.0,20,280.010334896,17.9896651044,523,204,False
59,,279.0,19.0,20,279.022501014,18.9774989863,523,204,False
60,,279.0,19.0,20,278.991442597,19.0085574032,523,204,False
