frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
2,248.0,192.0,0,248.0,192.0,549,244,False
3,249.0,192.0,0,248.833333333,192.0,549,244,False
4,249.0,194.0,0,248.99378882,193.925465839,549,244,False
5,249.0,195.0,0,249.000535404,194.984874849,549,244,False
6,249.0,196.0,0,249.000341917,195.994935196,549,244,False
7,249.0,197.0,0,249.000134341,196.998138881,549,244,False
8,249.0,198.0,0,249.000050404,197.999307574,549,244,False
9,250.0,199.0,0,249.982181013,198.99974198,549,244,False
10,250.0,200.0,0,250.010341477,199.999903835,549,244,False
11,250.0,201.0,0,250.004667147,200.999964158,549,244,False
12,250.0,203.0,0,250.00177841,202.98215031,549,244,False
13,250.0,203.0,0,250.000664702,203.028166244,549,244,False
14,250.0,203.0,0,250.000247834,203.012164262,549,244,False
15,251.0,203.0,0,250.982256048,203.004613547,549,244,False
16,251.0,203.0,0,251.010369326,203.001723356,549,244,False
17,251.0,203.0,0,251.004677519,203.000642504,549,244,False
18,251.0,203.0,0,251.001782275,203.00023948,549,244,False
19,251.0,203.0,0,251.000666143,203.000089258,549,244,False
20,229.0,200.0,0,229.392647578,200.053542251,549,244,False
21,211.0,187.0,0,211.093778769,187.200879971,549,244,False
22,198.0,181.0,0,197.943255548,180.958674886,549,244,False
23,191.0,165.0,0,190.867444327,165.157400194,549,244,False
24,178.0,159.0,0,178.052281082,158.88857168,549,244,False
25,178.0,157.0,0,177.792479925,156.878983792,549,244,False
26,155.0,139.0,0,155.322026225,139.236472875,549,244,False
27,141.0,119.0,0,140.978609156,119.137284639,549,244,False
28,147.0,112.0,0,146.628533326,111.821647793,549,244,False
29,158.0,89.0,0,157.754971997,89.2079229234,549,244,False
30,172.0,71.0,0,171.850065086,71.0014457438,549,244,False
31,184.0,59.0,0,183.976984864,58.8898814901,549,244,False
32,191.0,58.0,0,191.08217644,57.7574620206,549,244,False
33,199.0,53.0,0,199.017135159,52.9713051178,549,244,False
34,202.0,47.0,0,202.094922453,47.0100940955,549,244,False
35,204.0,45.0,0,204.057452276,44.933411779,549,244,False
36,216.0,41.0,0,215.844106385,41.0074875768,549,244,False
37,242.0,58.0,0,241.683702431,57.6297738632,549,244,False
38,247.0,75.0,0,247.244318044,74.8441602834,549,244,False
39,254.0,88.0,0,254.072721877,88.0124072084,549,244,False
40,259.0,109.0,0,259.06189959,108.865307092,549,244,False
41,266.0,140.0,0,265.989063391,139.764767571,549,244,False
42,263.0,154.0,0,263.1726596,154.206688192,549,244,False
43,260.0,168.0,0,260.072810591,168.091122625,549,244,False
44,260.0,187.0,0,259.974033386,186.945455285,549,244,False
45,255.0,198.0,0,255.076962174,198.118125434,549,244,False
46,253.0,200.0,0,252.979322181,200.21117989,549,244,False
47,253.0,201.0,0,252.954258143,201.104545421,549,244,False
48,253.0,202.0,0,252.981131144,202.040202039,549,244,False
49,252.0,202.0,0,252.010716511,202.03287941,549,244,False
50,252.0,203.0,0,251.987007271,202.995274723,549,244,False
51,252.0,204.0,0,251.994344499,203.99742624,549,244,False
52,251.0,204.0,0,251.015689534,204.016838162,549,244,False
53,251.0,204.0,0,250.9888631,204.007127539,549,244,False
54,251.0,205.0,0,250.995036305,204.984860974,549,244,False
55,250.0,205.0,0,250.015947386,205.011342172,549,244,False
56,250.0,205.0,0,249.988959205,205.005040207,549,244,False
57,250.0,206.0,0,249.995072125,205.984081132,549,244,False
58,250.0,206.0,0,249.998124409,206.011051423,549,244,False
59,249.0,206.0,0,249.017135405,206.004931836,549,244,False
60,249.0,207.0,0,248.989403771,206.98404074,549,244,False
61,248.0,207.0,0,248.013074234,207.011036369,549,244,False
62,248.0,207.0,0,247.987851306,207.004926225,549,244,False
63,263.0,195.0,0,262.727112508,195.215910907,549,244,False
64,265.0,193.0,0,265.117320537,192.912354602,549,244,False
65,266.0,193.0,0,266.072045187,192.923615224,549,244,False
66,266.0,193.0,0,266.046043835,192.969438094,549,244,False
67,266.0,192.0,0,266.018079654,192.006345318,549,244,False
68,265.0,193.0,0,265.024618843,192.96754111,549,244,False
69,264.0,193.0,0,264.010031483,193.004071901,549,244,False
70,272.0,141.0,0,271.843252887,141.929780504,549,244,False
71,272.0,120.0,0,272.076588495,119.838039403,549,244,False
72,266.0,108.0,0,266.142024615,107.754773344,549,244,False
73,267.0,100.0,0,266.933511003,99.8284083916,549,244,False
74,266.0,97.0,0,266.005176151,96.8430259484,549,244,False
75,267.0,95.0,0,266.967690201,94.9192055921,549,244,False
76,267.0,95.0,0,267.004155458,94.9331474465,549,244,False
77,268.0,94.0,0,267.984487623,93.9911611959,549,244,False
78,268.0,94.0,0,268.011238163,93.9796387368,549,244,False
79,268.0,94.0,0,268.005003123,93.9915943066,549,244,False
80,268.0,94.0,0,268.001903718,93.9968279841,549,244,False
81,269.0,94.0,0,268.982875083,93.9988158706,549,244,False
82,269.0,94.0,0,269.010600138,93.9995585673,549,244,False
83,269.0,94.0,0,269.00476355,93.999835467,549,244,False
84,269.0,95.0,0,269.001814341,94.9821023482,549,244,False
85,229.0,85.0,0,229.714131198,85.1886753151,549,244,False
86,196.0,69.0,0,196.175455811,69.1866884525,549,244,False
87,167.0,66.0,0,166.989708737,65.8432781093,549,244,False
88,154.0,50.0,0,153.70716107,50.1626298294,549,244,False
89,139.0,46.0,0,138.912696819,45.8571567091,549,244,False
90,131.0,44.0,0,130.843651741,43.9013509616,549,244,False
91,132.0,43.0,0,131.775274765,42.9432226036,549,244,False
92,133.0,42.0,0,132.90827589,41.9778806425,549,244,False
93,134.0,37.0,0,133.965431825,37.0630552629,549,244,False
94,124.0,38.0,0,124.183297272,37.9198957416,549,244,False
95,122.0,40.0,0,121.935015361,39.9473495156,549,244,False
96,132.0,46.0,0,131.755364101,45.9079402185,549,244,False
97,139.0,45.0,0,138.951781445,45.0870757626,549,244,False
98,140.0,44.0,0,140.091102073,44.0382634994,549,244,False
99,140.0,44.0,0,140.057011208,43.996703057,549,244,False
100,141.0,44.0,0,141.004515974,43.9979309229,549,244,False
101,140.0,43.0,0,140.03655507,43.0170249403,549,244,False
102,140.0,43.0,0,139.997457105,42.9893607636,549,244,False
103,140.0,43.0,0,139.998278526,42.9952217894,549,244,False
104,139.0,43.0,0,139.017157682,42.9981801908,549,244,False
105,138.0,44.0,0,138.007246719,43.9814835402,549,244,False
106,138.0,44.0,0,137.984905398,44.0100813108,549,244,False
107,167.0,81.0,0,166.476268902,80.3446260457,549,244,False
108,182.0,127.0,0,182.029712005,126.563662332,549,244,False
109,188.0,138.0,0,188.182364379,138.45245021,549,244,False
110,189.0,151.0,0,189.16534875,151.162397186,549,244,False
111,195.0,169.0,0,194.977106446,168.971047766,549,244,False
112,211.0,186.0,0,210.809059158,186.002763305,549,244,False
113,225.0,198.0,0,224.95577692,198.090860204,549,244,False
114,231.0,194.0,0,231.127497384,194.323545069,549,244,False
115,233.0,190.0,0,233.125755718,190.134452877,549,244,False
116,252.0,194.0,0,251.747397482,193.908085428,549,244,False
117,252.0,199.0,0,252.230410054,198.941108976,549,244,False
118,252.0,200.0,0,252.101409157,200.048216905,549,244,False
119,253.0,200.0,0,253.020703696,200.039165332,549,244,False
120,253.0,201.0,0,253.024734923,200.99777544,549,244,False
121,253.0,201.0,0,253.010033499,201.016202178,549,244,False
122,252.0,201.0,0,252.021614941,201.006853835,549,244,False
123,252.0,202.0,0,251.991075316,201.984757205,549,244,False
124,266.0,190.0,0,265.746152424,190.225339343,549,244,False
