frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
2,494.0,44.0,manual,494.0,44.0,536,229,False
3,494.0,44.0,manual,494.0,44.0,536,229,False
4,494.0,44.0,manual,494.0,44.0,536,229,False
5,494.0,44.0,manual,494.0,44.0,536,229,False
6,494.0,44.0,manual,494.0,44.0,536,229,False
7,494.0,44.0,manual,494.0,44.0,536,229,False
8,494.0,44.0,manual,494.0,44.0,536,229,False
9,494.0,44.0,manual,494.0,44.0,536,229,False
10,494.0,44.0,manual,494.0,44.0,536,229,False
11,494.0,44.0,manual,494.0,44.0,536,229,False
12,494.0,44.0,manual,494.0,44.0,536,229,False
13,494.0,44.0,manual,494.0,44.0,536,229,False
14,494.0,44.0,manual,494.0,44.0,536,229,False
15,494.0,44.0,manual,494.0,44.0,536,229,False
16,494.0,44.0,manual,494.0,44.0,536,229,False
17,494.0,44.0,manual,494.0,44.0,536,229,False
18,494.0,44.0,manual,494.0,44.0,536,229,False
19,494.0,44.0,manual,494.0,44.0,536,229,False
20,494.0,44.0,manual,494.0,44.0,536,229,False
21,494.0,44.0,manual,494.0,44.0,536,229,False
22,494.0,44.0,manual,494.0,44.0,536,229,False
23,494.0,44.0,manual,494.0,44.0,536,229,False
24,494.0,44.0,manual,494.0,44.0,536,229,False
25,494.0,44.0,manual,494.0,44.0,536,229,False
26,494.0,44.0,manual,494.0,44.0,536,229,False
27,494.0,44.0,manual,494.0,44.0,536,229,False
28,494.0,44.0,manual,494.0,44.0,536,229,False
29,494.0,44.0,manual,494.0,44.0,536,229,False
30,494.0,44.0,manual,494.0,44.0,536,229,False
31,494.0,44.0,manual,494.0,44.0,536,229,False
32,494.0,44.0,manual,494.0,44.0,536,229,False
33,494.0,44.0,manual,494.0,44.0,536,229,False
34,494.0,44.0,manual,494.0,44.0,536,229,False
35,494.0,44.0,manual,494.0,44.0,536,229,False
36,494.0,44.0,manual,494.0,44.0,536,229,False
37,494.0,44.0,0,494.0,44.0,536,229,False
38,495.0,45.0,0,494.833333333,44.8333333333,536,229,False
39,497.0,45.0,0,496.919254658,44.9937888199,536,229,False
40,498.0,45.0,0,497.985410253,45.0005354036,536,229,False
41,498.0,43.0,0,498.013654555,43.037096802,536,229,False
42,497.0,43.0,0,497.023921236,42.9797824077,536,229,False
43,501.0,55.0,0,500.920583736,54.7766719141,536,229,False
44,490.0,65.0,0,490.233739507,64.9421096291,536,229,False
45,487.0,62.0,0,486.957028393,62.2115112682,536,229,False
46,489.0,64.0,0,488.888576568,64.0008061848,536,229,False
47,492.0,63.0,0,491.936068722,63.0500754669,536,229,False
48,496.0,61.0,0,495.957263451,61.0388822096,536,229,False
49,500.0,62.0,0,499.983166571,61.9619505622,536,229,False
50,505.0,61.0,0,504.975846293,61.0189766709,536,229,False
51,509.0,63.0,0,509.007978239,62.9551507061,536,229,False
52,511.0,62.0,0,511.03945888,62.0343082218,536,229,False
53,511.0,62.0,0,511.052125591,61.9973926427,536,229,False
54,511.0,61.0,0,511.021218681,61.0161278175,536,229,False
55,495.0,69.0,0,495.293375462,68.8463024405,536,229,False
56,491.0,84.0,0,490.90897065,83.810217397,536,229,False
57,483.0,97.0,0,483.027828317,96.9585971042,536,229,False
58,490.0,108.0,0,489.745782482,108.021644846,536,229,False
59,500.0,103.0,0,499.839078291,103.295222899,536,229,False
60,497.0,108.0,0,497.168727653,107.945412681,536,229,False
61,495.0,118.0,0,495.055995787,117.882594858,536,229,False
62,491.0,125.0,0,491.056213346,125.005105489,536,229,False
63,484.0,106.0,0,484.076151895,106.467985812,536,229,False
64,487.0,103.0,0,486.852661319,102.91134869,536,229,False
65,488.0,101.0,0,487.972348093,100.936532404,536,229,False
66,491.0,101.0,0,490.955325751,100.939215965,536,229,False
67,493.0,102.0,0,492.999540868,101.957731733,536,229,False
68,496.0,102.0,0,495.9827674,102.001143708,536,229,False
69,499.0,102.0,0,498.992760667,102.001234921,536,229,False
70,495.0,85.0,0,495.12211701,85.3037165407,536,229,False
71,488.0,68.0,0,488.104996909,68.1277121698,536,229,False
72,479.0,52.0,0,479.077653132,52.0304584469,536,229,False
73,477.0,36.0,0,476.905931559,36.010532006,536,229,False
74,479.0,26.0,0,478.887707238,25.8968682179,536,229,False
75,478.0,24.0,0,478.007959803,23.8137473489,536,229,False
76,475.0,25.0,0,475.041023203,24.8699981518,536,229,False
77,476.0,26.0,0,475.945765862,25.9486471301,536,229,False
78,476.0,24.0,0,475.99429535,24.0342302397,536,229,False
79,476.0,21.0,0,475.998568131,21.0331485009,536,229,False
80,476.0,18.0,0,475.999499548,18.0133307375,536,229,False
81,477.0,15.0,0,476.981978736,15.0050152665,536,229,False
82,477.0,13.0,0,477.010266043,12.9840351738,536,229,False
83,475.0,12.0,0,475.040311683,11.9753598846,536,229,False
84,474.0,12.0,0,473.998934466,11.9720855223,536,229,False
85,474.0,12.0,0,473.980996528,11.9886994853,536,229,False
86,473.0,12.0,0,473.009863034,11.9957452294,536,229,False
87,475.0,13.0,0,474.95097807,12.9805758014,536,229,False
88,475.0,14.0,0,475.014879561,13.9919066459,536,229,False
89,474.0,14.0,0,474.024968602,14.0147789586,536,229,False
90,471.0,14.0,0,471.045908314,14.0063599487,536,229,False
91,470.0,13.0,0,469.983189676,13.0202475316,536,229,False
92,469.0,12.0,0,468.992111239,12.008402075,536,229,False
93,469.0,12.0,0,468.979145727,11.9853361951,536,229,False
94,470.0,12.0,0,469.973533688,11.9936829751,536,229,False
95,481.0,22.0,0,480.81087774,21.8192415186,536,229,False
96,490.0,27.0,0,489.956605487,27.0132726382,536,229,False
97,494.0,25.0,0,494.074304435,25.1336604398,536,229,False
98,496.0,23.0,0,496.067696902,23.0559768936,536,229,False
99,500.0,21.0,0,499.991473342,21.0211582148,536,229,False
100,501.0,19.0,0,501.048715458,19.0079000973,536,229,False
101,499.0,16.0,0,499.074149348,16.0207814901,536,229,False
