frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
2,,168.0,62.0,50,167.666666667,62.0,564,248,False
3,,159.0,38.0,50,159.322981366,38.8944099379,564,248,False
4,,147.0,43.0,50,147.230758935,42.8151519208,564,248,False
5,,142.0,50.0,50,141.963591952,49.8681699551,564,248,False
6,,144.0,43.0,50,143.855156669,43.1985847214,564,248,False
7,,153.0,45.0,50,152.814798346,44.9252591229,564,248,False
8,,153.0,46.0,50,153.08523229,45.9828612063,564,248,False
9,,146.0,44.0,50,146.164005324,44.0476346252,564,248,False
10,,140.0,43.0,50,140.04961922,43.0025030584,564,248,False
11,,135.0,46.0,50,135.000106793,45.9288577593,564,248,False
12,,129.0,47.0,50,129.016996217,47.005707688,564,248,False
13,,123.0,47.0,50,123.007146202,47.0215057288,564,248,False
14,,118.0,48.0,50,117.984866003,47.9911065418,564,248,False
15,,118.0,49.0,50,117.904325989,48.9958760912,564,248,False
16,,117.0,49.0,50,116.977868602,49.0162605601,564,248,False
17,,117.0,49.0,50,116.974562334,49.0069122662,564,248,False
18,,116.0,50.0,50,116.00753274,49.9847807385,564,248,False
19,,117.0,43.0,50,116.967949107,43.13616656,564,248,False
20,,124.0,40.0,50,123.87936802,39.9861937741,564,248,False
21,,127.0,44.0,50,127.021182737,43.8669105051,564,248,False
22,,134.0,51.0,50,133.939715154,50.8907637634,564,248,False
23,,143.0,57.0,50,142.938595499,56.9742686244,564,248,False
24,,148.0,58.0,50,148.046595653,58.0803081556,564,248,False
25,,150.0,70.0,50,150.074200968,69.8380345852,564,248,False
26,,154.0,94.0,50,153.994702982,93.716413802,564,248,False
27,,141.0,96.0,50,141.299666327,96.276020106,564,248,False
28,,141.0,115.0,50,140.894253017,114.817926462,564,248,False
29,,125.0,136.0,50,125.235562241,135.882829414,564,248,False
30,,120.0,146.0,50,119.904757047,146.150168643,564,248,False
31,,120.0,149.0,50,119.866560427,149.190100677,564,248,False
32,,117.0,170.0,50,116.999087029,169.75621837,564,248,False
33,,127.0,180.0,50,126.770123844,180.09028156,564,248,False
34,,130.0,200.0,50,130.028191464,199.863954648,564,248,False
35,,127.0,203.0,50,127.122974608,203.244390625,564,248,False
36,,102.0,198.0,50,102.443615859,198.247900641,564,248,False
37,,82.0,198.0,50,82.0951966593,198.01071901,564,248,False
38,,62.0,196.0,50,62.0321244222,196.035759117,564,248,False
39,,55.0,184.0,50,54.7799403645,184.193211315,564,248,False
40,,46.0,177.0,50,45.9425490979,176.991439517,564,248,False
41,,47.0,175.0,50,46.8013996291,174.903771896,564,248,False
42,,53.0,163.0,50,52.8283176317,163.138045268,564,248,False
43,,53.0,158.0,50,53.0383557393,157.934919821,564,248,False
44,,46.0,138.0,50,46.144047766,138.237711894,564,248,False
45,,47.0,133.0,50,46.9172074846,132.833590471,564,248,False
46,,44.0,134.0,50,44.0339559434,133.8187552,564,248,False
47,,40.0,138.0,50,40.0335939078,137.873232949,564,248,False
48,,36.0,145.0,50,36.0135229549,144.896409285,564,248,False
49,,33.0,156.0,50,32.9872518354,155.887348557,564,248,False
50,,33.0,159.0,50,32.9408883163,159.097160433,564,248,False
51,,30.0,160.0,50,30.028875737,160.078544748,564,248,False
52,,38.0,151.0,50,37.8169990129,151.209663889,564,248,False
53,,43.0,148.0,50,42.9760291418,147.979759517,564,248,False
54,,44.0,148.0,50,44.0645279418,147.934238835,564,248,False
55,,44.0,149.0,50,44.0454024239,148.954867487,564,248,False
56,,42.0,149.0,50,42.0536166307,149.000027865,564,248,False
57,,41.0,150.0,50,41.0039034293,149.98298039,564,248,False
58,,40.0,151.0,50,40.0006853432,150.992841558,564,248,False
59,,40.0,151.0,50,39.9823822846,151.015129266,564,248,False
60,,38.0,152.0,50,38.0282509411,151.988654275,564,248,False
61,,37.0,152.0,50,36.9943594182,152.0127948,564,248,False
62,,36.0,153.0,50,35.997123845,152.987747153,564,248,False
63,,36.0,153.0,50,35.9810546539,153.01245493,564,248,False
64,,36.0,153.0,50,35.9920834477,153.005456721,564,248,False
65,,36.0,153.0,50,35.9970084476,153.002072785,564,248,False
66,,36.0,153.0,50,35.9988830437,153.000774424,564,248,False
67,,36.0,154.0,50,35.9995835995,153.982452402,564,248,False
68,,36.0,154.0,50,35.9998447967,154.010442514,564,248,False
69,,36.0,154.0,50,35.9999421531,154.004704797,564,248,False
70,,36.0,154.0,50,35.9999784396,154.001792442,564,248,False
71,,36.0,154.0,50,35.9999919641,154.000669932,564,248,False
72,,37.0,155.0,50,36.9821606773,154.982413455,564,248,False
73,,37.0,155.0,50,37.0103337793,155.010427998,564,248,False
74,,37.0,155.0,50,37.00466427,155.004699387,564,248,False
75,,38.0,155.0,50,37.9839410098,155.001790426,564,248,False
76,,38.0,155.0,50,38.0109991977,155.00066918,564,248,False
77,,43.0,150.0,50,42.9157307327,150.089431141,564,248,False
78,,43.0,139.0,50,43.0535442907,139.144618123,564,248,False
79,,49.0,138.0,50,48.917004234,137.880863707,564,248,False
80,,49.0,139.0,50,49.0711573671,138.911642687,564,248,False
81,,48.0,147.0,50,48.0492433518,146.840110187,564,248,False
82,,46.0,148.0,50,46.0372774391,148.059185336,564,248,False
83,,44.0,134.0,50,44.0147994681,134.295288363,564,248,False
84,,40.0,135.0,50,40.0412319812,134.855588991,564,248,False
85,,38.0,142.0,50,37.9814043287,141.826980174,564,248,False
86,,35.0,150.0,50,35.009280111,149.911972412,564,248,False
87,,33.0,156.0,50,32.9863982912,156.001736893,564,248,False
88,,32.0,168.0,50,31.9762776728,167.895282609,564,248,False
89,,31.0,171.0,50,30.9902656952,171.11645493,564,248,False
90,,30.0,171.0,50,29.9963291584,171.104354257,564,248,False
91,,30.0,171.0,50,29.9807934492,171.041811186,564,248,False
92,,29.0,171.0,50,29.0098240946,171.015723252,564,248,False
93,,29.0,171.0,50,28.9866379704,171.005866977,564,248,False
94,,29.0,171.0,50,28.9942050997,171.002187032,564,248,False
95,,30.0,171.0,50,29.9799648382,171.000815156,564,248,False
96,,30.0,171.0,50,30.0095134907,171.000303822,564,248,False
97,,30.0,171.0,50,30.0043584466,171.000113239,564,248,False
98,,30.0,171.0,50,30.001663348,171.000042206,564,248,False
99,,30.0,171.0,50,30.0006218163,171.000015731,564,248,False
100,,30.0,172.0,50,30.0002318495,171.982169536,564,248,False
101,,30.0,172.0,50,30.0000864181,172.010337081,564,248,False
102,,30.0,172.0,50,30.0000322096,172.004665501,564,248,False
103,,31.0,172.0,50,30.9821756774,172.001777796,564,248,False
104,,36.0,156.0,50,35.9211577321,156.286045715,564,248,False
105,,50.0,151.0,50,49.8066322455,150.924071056,564,248,False
106,,56.0,142.0,50,56.0627721176,142.034309837,564,248,False
107,,60.0,143.0,50,60.0655217223,142.83742072,564,248,False
108,,53.0,146.0,50,53.2226364785,145.895339346,564,248,False
109,,48.0,132.0,50,48.0567929975,132.26210021,564,248,False
110,,42.0,135.0,50,42.0377507658,134.808880791,564,248,False
111,,43.0,117.0,50,42.8900095841,117.289508886,564,248,False
112,,40.0,103.0,50,40.0244132588,103.053822431,564,248,False
113,,44.0,85.0,50,43.8873750267,85.0888176582,564,248,False
114,,40.0,57.0,50,40.0948884444,57.2147573622,564,248,False
115,,35.0,39.0,50,35.0597524174,38.9103731394,564,248,False
116,,42.0,41.0,50,41.8094017073,40.601748558,564,248,False
117,,54.0,33.0,50,53.8295925923,33.0124691097,564,248,False
118,,49.0,35.0,50,49.234948826,34.833984206,564,248,False
119,,45.0,36.0,50,45.0840156436,35.9477925906,564,248,False
120,,42.0,35.0,50,42.0133075436,35.0166768746,564,248,False
121,,50.0,40.0,50,49.8078986252,39.9009270232,564,248,False
122,,67.0,37.0,50,66.758443536,37.1007260021,564,248,False
123,,71.0,32.0,50,71.1337071358,32.0798021313,564,248,False
124,,72.0,36.0,50,72.1140507307,35.8712388864,564,248,False
125,,56.0,33.0,50,56.3487990898,33.0692777993,564,248,False
126,,43.0,41.0,50,43.0911513543,40.8352332157,564,248,False
127,,51.0,48.0,50,50.6575513899,47.9473046287,564,248,False
128,,46.0,46.0,50,46.086222694,46.1413036677,564,248,False
129,,42.0,42.0,50,42.0245344135,42.0960406915,564,248,False
130,,38.0,43.0,50,38.0087805526,42.9486898984,564,248,False
131,,49.0,63.0,50,48.735710323,62.6378172509,564,248,False
132,,48.0,63.0,50,48.1027268952,63.2053183811,564,248,False
133,,42.0,59.0,50,42.1370994898,59.1641561605,564,248,False
134,,39.0,70.0,50,39.0023187381,69.7978321872,564,248,False
135,,44.0,90.0,50,43.8558392205,89.7515193045,564,248,False
136,,42.0,94.0,50,42.0641831743,94.1844835399,564,248,False
137,,38.0,110.0,50,38.0652374993,109.867984374,564,248,False
138,,38.0,125.0,50,37.9549468607,124.95902395,564,248,False
139,,59.0,132.0,50,58.6053255048,132.12781198,564,248,False
140,,52.0,146.0,50,52.334232333,145.929630508,564,248,False
141,,53.0,160.0,50,53.0049171589,159.968124976,564,248,False
142,,46.0,155.0,50,46.1387971551,155.326739665,564,248,False
143,,43.0,166.0,50,42.9869409648,165.852604333,564,248,False
144,,43.0,190.0,50,42.9385231416,189.700309647,564,248,False
145,,58.0,210.0,50,57.7068326625,209.947933407,564,248,False
146,,87.0,202.0,50,86.6280904217,202.482864879,564,248,False
147,,107.0,202.0,50,107.009341806,202.061316746,564,248,False
148,,129.0,203.0,50,128.974889733,202.999339146,564,248,False
149,,153.0,198.0,50,152.953600086,198.105646365,564,248,False
150,,181.0,191.0,50,180.909588133,191.080116179,564,248,False
151,,189.0,195.0,50,189.319529598,194.835610549,564,248,False
152,,197.0,200.0,50,197.135997316,199.911597352,564,248,False
153,,200.0,200.0,50,200.140678853,200.054934202,564,248,False
154,,200.0,201.0,50,200.110248656,201.006844152,564,248,False
155,,200.0,201.0,50,200.043858131,201.019734951,564,248,False
156,,200.0,201.0,50,200.016479002,201.008177862,564,248,False
157,,200.0,201.0,50,200.006148313,201.003087368,564,248,False
158,,199.0,202.0,50,199.020128201,201.983316265,564,248,False
159,,197.0,206.0,50,197.026191991,205.939419264,564,248,False
160,,200.0,208.0,50,199.921474926,208.010491766,564,248,False
161,,202.0,188.0,50,201.984343834,188.397892271,564,248,False
162,,200.0,182.0,50,200.066161389,181.917446003,564,248,False
163,,199.0,182.0,50,199.010268445,181.851165327,564,248,False
164,,199.0,180.0,50,198.9853022,179.974549653,564,248,False
165,,199.0,180.0,50,198.993635389,179.956278345,564,248,False
166,,199.0,179.0,50,198.997585387,178.999902233,564,248,False
167,,198.0,179.0,50,198.016934334,178.982902388,564,248,False
168,,198.0,178.0,50,197.98932882,178.010647322,564,248,False
169,,198.0,177.0,50,197.995209971,177.004782907,564,248,False
170,,204.0,170.0,50,203.891157825,170.108839606,564,248,False
171,,214.0,164.0,50,213.882964326,164.027853083,564,248,False
172,,209.0,146.0,50,209.220264515,146.223808815,564,248,False
173,,218.0,123.0,50,217.845015642,123.182812211,564,248,False
174,,230.0,107.0,50,229.877380469,106.94803919,564,248,False
175,,241.0,91.0,50,240.96903053,90.9748861212,564,248,False
