animal_ID,experiment_date,acclimate_start,experiment_start,sex,dead,treatment_odor,Experiment_Acclimate,starve_date,starve_time,background,mean_speed_mm,%_time_L_half,%_time_R_half,PI_(L-R)
171018-01-top,171018,2:41:00 PM,2:56:00 PM,f,False,milliQ_water_100uL,E,171017,1:00:00 PM,orco5_gcamp,2.3779306614,0.7636262514,0.2363737486,0.5272525028
171018-01-bottom,171018,2:41:00 PM,2:56:00 PM,m,False,milliQ_water_100uL,E,171017,1:00:00 PM,orco5_gcamp,2.0425195066,0.1956642579,0.8043357421,-0.6086714842
171018-02-top,171018,3:17:00 PM,3:32:00 PM,f,False,milliQ_water_100uL,E,171017,1:00:00 PM,orco5_gcamp,1.4380064174,0.7413793103,0.2586206897,0.4827586207
171018-02-bottom,171018,3:17:00 PM,3:32:00 PM,f,False,milliQ_water_100uL,E,171017,1:00:00 PM,orco5_gcamp,2.8166488676,0.3153503893,0.6846496107,-0.3692992214
171018-03-top,171018,3:52:00 PM,4:07:00 PM,,True,milliQ_water_100uL,E,171017,1:00:00 PM,orco5_gcamp,2.1067187263,0.4738598443,0.5261401557,-0.0522803115
171018-03-bottom,171018,3:52:00 PM,4:07:00 PM,f,False,milliQ_water_100uL,E,171017,1:00:00 PM,orco5_gcamp,1.7634116516,0.5695216908,0.4304783092,0.1390433815
171018-04-top,171018,4:28:00 PM,4:43:00 PM,f,False,milliQ_water_100uL,E,171017,1:00:00 PM,orco5_gcamp,4.3526664118,0.4674819344,0.5325180656,-0.0650361312
171018-04-bottom,171018,4:28:00 PM,4:43:00 PM,f,False,milliQ_water_100uL,E,171017,1:00:00 PM,orco5_gcamp,3.6685012757,0.6012235818,0.3987764182,0.2024471635
171019-01-top,171019,10:42:00 AM,10:57:00 AM,m,False,filtered_food_odor_100uL,E,171018,10:00:00 AM,orco5_gcamp,1.3075381149,0.9371523915,0.0628476085,0.8743047831
171019-01-bottom,171019,10:42:00 AM,10:57:00 AM,m,False,filtered_food_odor_100uL,E,171018,10:00:00 AM,orco5_gcamp,2.5193848297,0.9288097887,0.0711902113,0.8576195773
171019-02-top,171019,11:19:00 AM,11:34:00 AM,m,False,filtered_food_odor_100uL,E,171018,10:00:00 AM,orco5_gcamp,3.1432225154,0.6829810901,0.3170189099,0.3659621802
171019-02-bottom,171019,11:19:00 AM,11:34:00 AM,m,False,filtered_food_odor_100uL,E,171018,10:00:00 AM,orco5_gcamp,1.9327206881,0.4972191324,0.5027808676,-0.0055617353
171019-03-top,171019,11:55:00 AM,12:10:00 PM,f,False,filtered_food_odor_100uL,E,171018,10:00:00 AM,orco5_gcamp,1.4275075987,0.4443826474,0.5556173526,-0.1112347052
171019-03-bottom,171019,11:55:00 AM,12:10:00 PM,f,False,filtered_food_odor_100uL,E,171018,10:00:00 AM,orco5_gcamp,2.1977460082,0.9416017798,0.0583982202,0.8832035595
171019-04-top,171019,12:32:00 PM,12:47:00 PM,m,False,filtered_food_odor_100uL,E,171018,10:00:00 AM,orco5_gcamp,2.5976347628,0.5161290323,0.4838709677,0.0322580645
