animal_ID,experiment_date,acclimate_start,experiment_start,sex,dead,treatment_odor,starve_date,starve_time,background
171018-01-top,171018,2:41:00 PM,2:56:00 PM,f,FALSE,milliQ_water_100uL,171017,1:00:00 PM,orco5_gcamp
171018-01-bottom,171018,2:41:00 PM,2:56:00 PM,m,FALSE,milliQ_water_100uL,171017,1:00:00 PM,orco5_gcamp
171018-02-top,171018,3:17:00 PM,3:32:00 PM,f,FALSE,milliQ_water_100uL,171017,1:00:00 PM,orco5_gcamp
171018-02-bottom,171018,3:17:00 PM,3:32:00 PM,f,FALSE,milliQ_water_100uL,171017,1:00:00 PM,orco5_gcamp
171018-03-top,171018,3:52:00 PM,4:07:00 PM,,TRUE,milliQ_water_100uL,171017,1:00:00 PM,orco5_gcamp
171018-03-bottom,171018,3:52:00 PM,4:07:00 PM,f,FALSE,milliQ_water_100uL,171017,1:00:00 PM,orco5_gcamp
171018-04-top,171018,4:28:00 PM,4:43:00 PM,f,FALSE,milliQ_water_100uL,171017,1:00:00 PM,orco5_gcamp
171018-04-bottom,171018,4:28:00 PM,4:43:00 PM,f,FALSE,milliQ_water_100uL,171017,1:00:00 PM,orco5_gcamp
171019-01-top,171019,10:42:00 AM,10:57:00 AM,m,FALSE,filtered_food_odor_100uL,171018,10:00:00 AM,orco5_gcamp
171019-01-bottom,171019,10:42:00 AM,10:57:00 AM,m,FALSE,filtered_food_odor_100uL,171018,10:00:00 AM,orco5_gcamp
171019-02-top,171019,11:19:00 AM,11:34:00 AM,m,FALSE,filtered_food_odor_100uL,171018,10:00:00 AM,orco5_gcamp
171019-02-bottom,171019,11:19:00 AM,11:34:00 AM,m,FALSE,filtered_food_odor_100uL,171018,10:00:00 AM,orco5_gcamp
171019-03-top,171019,11:55:00 AM,12:10:00 PM,f,FALSE,filtered_food_odor_100uL,171018,10:00:00 AM,orco5_gcamp
171019-03-bottom,171019,11:55:00 AM,12:10:00 PM,f,FALSE,filtered_food_odor_100uL,171018,10:00:00 AM,orco5_gcamp
171019-04-top,171019,12:32:00 PM,12:47:00 PM,m,FALSE,filtered_food_odor_100uL,171018,10:00:00 AM,orco5_gcamp
171019-04-bottom,171019,12:32:00 PM,12:47:00 PM,m,FALSE,filtered_food_odor_100uL,171018,10:00:00 AM,orco5_gcamp
171019-05-top,171019,1:12:00 PM,1:27:00 PM,f,FALSE,filtered_food_odor_100uL,171018,10:00:00 AM,orco5_gcamp
171019-05-bottom,171019,1:12:00 PM,1:27:00 PM,f,FALSE,filtered_food_odor_100uL,171018,10:00:00 AM,orco5_gcamp
171019-06-top,171019,2:20:00 PM,2:35:00 PM,m,FALSE,filtered_food_odor_100uL,171018,10:00:00 AM,orco5_gcamp
171019-06-bottom,171019,2:20:00 PM,2:35:00 PM,m,FALSE,filtered_food_odor_100uL,171018,10:00:00 AM,orco5_gcamp
171019-07-top,171019,2:58:00 PM,3:13:00 PM,m,FALSE,filtered_food_odor_100uL,171018,10:00:00 AM,orco5_gcamp
171019-07-bottom,171019,2:58:00 PM,3:13:00 PM,m,FALSE,filtered_food_odor_100uL,171018,10:00:00 AM,orco5_gcamp
171019-08-top,171019,3:43:00 PM,3:58:00 PM,m,FALSE,filtered_food_odor_100uL,171018,10:00:00 AM,orco5_gcamp
171019-08-bottom,171019,3:43:00 PM,3:58:00 PM,m,FALSE,filtered_food_odor_100uL,171018,10:00:00 AM,orco5_gcamp
171025-01-top,171024,2:40:00 PM,2:55:00 PM,f,FALSE,milliQ_water_100uL,171024,1:30:00 PM,gcamp
171025-01-bottom,171024,2:40:00 PM,2:55:00 PM,f,FALSE,milliQ_water_100uL,171024,1:30:00 PM,gcamp
171025-02-top,171024,3:17:00 PM,3:32:00 PM,,TRUE,milliQ_water_100uL,171024,1:30:00 PM,gcamp
171025-02-bottom,171024,3:17:00 PM,3:32:00 PM,,TRUE,milliQ_water_100uL,171024,1:30:00 PM,gcamp
171025-03-top,171024,3:52:00 PM,4:07:00 PM,f,FALSE,milliQ_water_100uL,171024,1:30:00 PM,gcamp
171025-03-bottom,171024,3:52:00 PM,4:07:00 PM,,TRUE,milliQ_water_100uL,171024,1:30:00 PM,gcamp
171025-04-top,171024,4:28:00 PM,4:43:00 PM,m,FALSE,milliQ_water_100uL,171024,1:30:00 PM,gcamp
171025-04-bottom,171024,4:28:00 PM,4:43:00 PM,m,FALSE,milliQ_water_100uL,171024,1:30:00 PM,gcamp
171101-01-top,171101,2:35:00 PM,2:50:00 PM,,TRUE,milliQ_water_100uL,171031,1:15:00 PM,gcamp
171101-01-bottom,171101,2:35:00 PM,2:50:00 PM,f,FALSE,milliQ_water_100uL,171031,1:15:00 PM,gcamp
171101-02-top,171101,3:13:00 PM,3:28:00 PM,m,FALSE,milliQ_water_100uL,171031,1:15:00 PM,gcamp
171101-02-bottom,171101,3:13:00 PM,3:28:00 PM,m,FALSE,milliQ_water_100uL,171031,1:15:00 PM,gcamp
171101-03-top,171101,3:50:00 PM,4:05:00 PM,f,FALSE,milliQ_water_100uL,171031,1:15:00 PM,gcamp
171101-03-bottom,171101,3:50:00 PM,4:05:00 PM,m,FALSE,milliQ_water_100uL,171031,1:15:00 PM,gcamp
171101-04-top,171101,4:27:00 PM,4:43:00 PM,f,FALSE,milliQ_water_100uL,171031,1:15:00 PM,gcamp
171101-04-bottom,171101,4:27:00 PM,4:43:00 PM,,TRUE,milliQ_water_100uL,171031,1:15:00 PM,gcamp
171102-01-top,171102,10:32:00 AM,10:47:00 AM,f,FALSE,filtered_food_odor_100uL,171101,9:30:00 AM,gcamp
171102-01-bottom,171102,10:32:00 AM,10:47:00 AM,f,FALSE,filtered_food_odor_100uL,171101,9:30:00 AM,gcamp
171102-02-top,171102,11:08:00 AM,11:23:00 AM,m,FALSE,filtered_food_odor_100uL,171101,9:30:00 AM,gcamp
171102-02-bottom,171102,11:08:00 AM,11:23:00 AM,f,FALSE,filtered_food_odor_100uL,171101,9:30:00 AM,gcamp
171102-03-top,171102,11:44:00 AM,11:59:00 AM,f,FALSE,filtered_food_odor_100uL,171101,9:30:00 AM,gcamp
171102-03-bottom,171102,11:44:00 AM,11:59:00 AM,m,FALSE,filtered_food_odor_100uL,171101,9:30:00 AM,gcamp
171108-01-top,171108,03:10:00 PM,03:25:00 PM,m,FALSE,milliQ_water_100uL,171107,02:00:00 PM,orco5_gcamp
171108-01-bottom,171108,03:10:00 PM,03:25:00 PM,m,FALSE,milliQ_water_100uL,171107,02:00:00 PM,orco5_gcamp
171108-02-top,171108,03:45:00 PM,04:00:00 PM,,TRUE,milliQ_water_100uL,171107,02:00:00 PM,orco5_gcamp
171108-02-bottom,171108,03:45:00 PM,04:00:00 PM,f,FALSE,milliQ_water_100uL,171107,02:00:00 PM,orco5_gcamp
171108-03-top,171108,04:20:00 PM,04:35:00 PM,m,FALSE,milliQ_water_100uL,171107,02:00:00 PM,orco5_gcamp
171108-03-bottom,171108,04:20:00 PM,04:35:00 PM,m,FALSE,milliQ_water_100uL,171107,02:00:00 PM,orco5_gcamp
171108-04-top,171108,04:55:00 PM,05:10:00 PM,f,FALSE,milliQ_water_100uL,171107,02:00:00 PM,orco5_gcamp
171108-04-bottom,171108,04:55:00 PM,05:10:00 PM,f,FALSE,milliQ_water_100uL,171107,02:00:00 PM,orco5_gcamp
171116-01-top,171116,10:32:00 AM,10:47:00 AM,m,FALSE,milliQ_water_100uL,171115,10:00:00 AM,gr3_gcamp
171116-01-bottom,171116,10:32:00 AM,10:47:00 AM,m,FALSE,milliQ_water_100uL,171115,10:00:00 AM,gr3_gcamp
171116-02-top,171116,11:08:00 AM,11:23:00 AM,m,FALSE,milliQ_water_100uL,171115,10:00:00 AM,gr3_gcamp
171116-02-bottom,171116,11:08:00 AM,11:23:00 AM,m,FALSE,milliQ_water_100uL,171115,10:00:00 AM,gr3_gcamp
171116-03-top,171116,11:45:00 AM,12:00:00 PM,f,FALSE,milliQ_water_100uL,171115,10:00:00 AM,gr3_gcamp
171116-03-bottom,171116,11:45:00 AM,12:00:00 PM,m,FALSE,milliQ_water_100uL,171115,10:00:00 AM,gr3_gcamp
171116-04-top,171116,12:20:00 PM,12:35:00 PM,,TRUE,milliQ_water_100uL,171115,10:00:00 AM,gr3_gcamp
171116-04-bottom,171116,12:20:00 PM,12:35:00 PM,m,FALSE,milliQ_water_100uL,171115,10:00:00 AM,gr3_gcamp
171116-05-top,171116,12:55:00 PM,01:10:00 PM,f,FALSE,milliQ_water_100uL,171115,10:00:00 AM,gr3_gcamp
171116-05-bottom,171116,12:55:00 PM,01:10:00 PM,,TRUE,milliQ_water_100uL,171115,10:00:00 AM,gr3_gcamp
171116-06-top,171116,01:30:00 PM,01:45:00 PM,m,FALSE,milliQ_water_100uL,171115,10:00:00 AM,gr3_gcamp
171116-06-bottom,171116,01:30:00 PM,01:45:00 PM,f,FALSE,milliQ_water_100uL,171115,10:00:00 AM,gr3_gcamp
171116-07-top,171116,02:06:00 PM,02:21:00 PM,m,FALSE,milliQ_water_100uL,171115,10:00:00 AM,gr3_gcamp
171116-07-bottom,171116,02:06:00 PM,02:21:00 PM,f,FALSE,milliQ_water_100uL,171115,10:00:00 AM,gr3_gcamp
171116-08-top,171116,02:41:00 PM,02:56:00 PM,m,FALSE,milliQ_water_100uL,171115,10:00:00 AM,gr3_gcamp
171116-08-bottom,171116,02:41:00 PM,02:56:00 PM,f,FALSE,milliQ_water_100uL,171115,10:00:00 AM,gr3_gcamp
171116-09-top,171116,03:17:00 PM,03:32:00 PM,m,FALSE,milliQ_water_100uL,171115,10:00:00 AM,gr3_gcamp
171116-09-bottom,171116,03:17:00 PM,03:32:00 PM,f,FALSE,milliQ_water_100uL,171115,10:00:00 AM,gr3_gcamp
171129-01-top,171129,02:09:00 PM,02:24:00 PM,m,FALSE,milliQ_water_100uL,171128,13:45pm,gcamp
171129-01-bottom,171129,02:09:00 PM,02:24:00 PM,,TRUE,milliQ_water_100uL,171128,13:45pm,gcamp
171129-02-top,171129,02:44:00 PM,02:59:00 PM,m,FALSE,milliQ_water_100uL,171128,13:45pm,gcamp
171129-02-bottom,171129,02:44:00 PM,02:59:00 PM,f,FALSE,milliQ_water_100uL,171128,14:45pm,gcamp
171129-03-top,171129,03:19:00 PM,03:34:00 PM,m,FALSE,milliQ_water_100uL,171128,14:45pm,gcamp
171129-03-bottom,171129,03:19:00 PM,03:34:00 PM,m,FALSE,milliQ_water_100uL,171128,14:45pm,gcamp
171129-04-top,171129,03:55:00 PM,04:10:00 PM,m,FALSE,milliQ_water_100uL,171128,15:45pm,gcamp
171129-04-bottom,171129,03:55:00 PM,04:10:00 PM,m,FALSE,milliQ_water_100uL,171128,15:45pm,gcamp
171129-05-top,171129,04:29:00 PM,04:44:00 PM,m,FALSE,milliQ_water_100uL,171128,15:45pm,gcamp
171129-05-bottom,171129,04:29:00 PM,04:44:00 PM,f,FALSE,milliQ_water_100uL,171128,16:45pm,gcamp
171130-01-top,171130,10:40:00 AM,10:55:00 AM,f,FALSE,filtered_food_odor_100uL,171129,09:30:00 AM,gcamp
171130-01-bottom,171130,10:40:00 AM,10:55:00 AM,f,FALSE,filtered_food_odor_100uL,171129,09:30:00 AM,gcamp
171130-02-top,171130,11:16:00 AM,11:31:00 AM,f,FALSE,filtered_food_odor_100uL,171129,09:30:00 AM,gcamp
171130-02-bottom,171130,11:16:00 AM,11:31:00 AM,f,FALSE,filtered_food_odor_100uL,171129,09:30:00 AM,gcamp
171130-04-top,171130,12:16:00 PM,12:31:00 PM,f,FALSE,filtered_food_odor_100uL,171129,09:30:00 AM,gcamp
171130-04-bottom,171130,12:16:00 PM,12:31:00 PM,f,FALSE,filtered_food_odor_100uL,171129,09:30:00 AM,gcamp
